population;reagent;Annotation 1;plate;sampleID;stimulation;time;median
cMC_CD14posCD16negCCR2pos;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
cMC_CD14posCD16negCCR2pos;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;1,081994534
cMC_CD14posCD16negCCR2pos;155Gd_pS6;Surge;27;Surge;Unstim;IC;5,71018219
cMC_CD14posCD16negCCR2pos;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,823162794
cMC_CD14posCD16negCCR2pos;164Dy_IkB;Surge;27;Surge;Unstim;IC;5,49794817
cMC_CD14posCD16negCCR2pos;166Er_pNFkB;Surge;27;Surge;Unstim;IC;8,821619034
cMC_CD14posCD16negCCR2pos;167Er_pERK12;Surge;27;Surge;Unstim;IC;1,110792279
cMC_CD14posCD16negCCR2pos;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
MDSC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;6,146093369
MDSC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,67679134
MDSC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,470422119
MDSC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
MDSC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;1,295072436
MDSC;155Gd_pS6;Surge;27;Surge;Unstim;IC;5,206935406
MDSC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,503023565
MDSC;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,871206999
MDSC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;7,862827778
MDSC;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,980065674
MDSC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
DC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;3,399077177
DC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;1,542514443
DC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
DC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
DC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
DC;155Gd_pS6;Surge;27;Surge;Unstim;IC;8,708405495
DC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,571630239
DC;164Dy_IkB;Surge;27;Surge;Unstim;IC;2,993264437
DC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;7,787509918
DC;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,375371516
DC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
Baso;149Sm_pCREB;Surge;27;Surge;Unstim;IC;NaN
Baso;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;NaN
Baso;151Eu_pp38;Surge;27;Surge;Unstim;IC;NaN
Baso;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;NaN
Baso;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;NaN
Baso;155Gd_pS6;Surge;27;Surge;Unstim;IC;NaN
Baso;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;NaN
Baso;164Dy_IkB;Surge;27;Surge;Unstim;IC;NaN
Baso;166Er_pNFkB;Surge;27;Surge;Unstim;IC;NaN
Baso;167Er_pERK12;Surge;27;Surge;Unstim;IC;NaN
Baso;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;NaN
mDC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;4,150969744
mDC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,263708964
mDC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,126874134
mDC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
mDC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0,539880991
mDC;155Gd_pS6;Surge;27;Surge;Unstim;IC;6,432768106
mDC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,082052529
mDC;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,922269106
mDC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;6,008065462
mDC;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,257887602
mDC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
pDC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,637320995
pDC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,60825038
pDC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,450521901
pDC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
pDC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
pDC;155Gd_pS6;Surge;27;Surge;Unstim;IC;6,234512329
pDC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;2,456394911
pDC;164Dy_IkB;Surge;27;Surge;Unstim;IC;6,389326811
pDC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;7,82086277
pDC;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,96059379
pDC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
intMC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;6,044490337
intMC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,701511353
intMC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,633090407
intMC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
intMC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0,505372286
intMC;155Gd_pS6;Surge;27;Surge;Unstim;IC;5,468589544
intMC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,775493741
intMC;164Dy_IkB;Surge;27;Surge;Unstim;IC;3,011992693
intMC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;11,61576986
intMC;167Er_pERK12;Surge;27;Surge;Unstim;IC;1,389983416
intMC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
ncMc;149Sm_pCREB;Surge;27;Surge;Unstim;IC;4,170776844
ncMc;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,337762058
ncMc;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,441825658
ncMc;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
ncMc;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0,478010803
ncMc;155Gd_pS6;Surge;27;Surge;Unstim;IC;4,411444664
ncMc;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,983570099
ncMc;164Dy_IkB;Surge;27;Surge;Unstim;IC;1,9428792
ncMc;166Er_pNFkB;Surge;27;Surge;Unstim;IC;9,194515228
ncMc;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,813653708
ncMc;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
NK;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,195939422
NK;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,109023169
NK;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
NK;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
NK;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
NK;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,215106487
NK;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;2,332364082
NK;164Dy_IkB;Surge;27;Surge;Unstim;IC;2,807927132
NK;166Er_pNFkB;Surge;27;Surge;Unstim;IC;18,14309978
NK;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,581326723
NK;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
CD56brightCD16negNK;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,755162477
CD56brightCD16negNK;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,380097598
CD56brightCD16negNK;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD56brightCD16negNK;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD56brightCD16negNK;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD56brightCD16negNK;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,213943243
CD56brightCD16negNK;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,735146999
CD56brightCD16negNK;164Dy_IkB;Surge;27;Surge;Unstim;IC;3,425311327
CD56brightCD16negNK;166Er_pNFkB;Surge;27;Surge;Unstim;IC;20,38100052
CD56brightCD16negNK;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,585305095
CD56brightCD16negNK;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
CD56dimCD16posNK;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,251150846
CD56dimCD16posNK;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,082102776
CD56dimCD16posNK;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD56dimCD16posNK;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD56dimCD16posNK;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD56dimCD16posNK;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,196838617
CD56dimCD16posNK;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;2,414848328
CD56dimCD16posNK;164Dy_IkB;Surge;27;Surge;Unstim;IC;2,744208097
CD56dimCD16posNK;166Er_pNFkB;Surge;27;Surge;Unstim;IC;18,17213821
CD56dimCD16posNK;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,585701227
CD56dimCD16posNK;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
Tcells;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,5261603
Tcells;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,677682281
Tcells;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Tcells;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Tcells;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Tcells;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,230215311
