,Mann-Whitney U-test,p-value
CD62LnAgedNeutrophils_Frequency,56.0,0.6775849579524755
mDC_p38,44.0,0.6775849579524755
CD4Tem_STAT5,56.0,0.6775849579524755
CD4Tnaive_NFkB,44.0,0.6775849579524755
CD4Tnaive_STAT6,44.0,0.6775849579524755
CD56brightCD16nNKcells_MAPKAPK2,44.0,0.6775849579524755
Tregnaive_p38,46.0,0.7280505911468842
CD41hiCD61hiPLT_IkB,45.0,0.7337299956962472
CD8Tnaive_NFkB,55.0,0.7337299956962472
CD4Tem_Frequency,55.0,0.7337299956962472
CD4Tem_CREB,45.0,0.7337299956962472
CD4Tnaive_IkB,45.0,0.7337299956962472
Th1mem_CREB,45.0,0.7337299956962472
CD4Tcm_NFkB,45.0,0.7337299956962472
CD8Trm_Frequency,45.0,0.7337299956962472
Tregnaive_NFkB,45.0,0.7337299956962472
Th1naive_p38,54.0,0.7910295772981756
Tregmem_STAT6,54.0,0.7913367801006604
pDC_Frequency,46.0,0.7913367801006604
MDSC_STAT5,54.0,0.7913367801006604
Th1mem_STAT5,46.0,0.7913367801006604
Th1mem_NFkB,46.0,0.7913367801006604
Th1naive_STAT5,54.0,0.7913367801006604
Bcells_CREB,46.0,0.7913367801006604
intMC_IkB,46.0,0.7913367801006604
CCR2nncMC_STAT3,46.0,0.7913367801006604
CD41hiCD61hiPLT_NFkB,54.0,0.7913367801006604
CD4Tem_NFkB,46.0,0.7913367801006604
CD4Tnaive_CREB,46.0,0.7913367801006604
CD4Trm_IkB,46.0,0.7913367801006604
CD56brightCD16nNKcells_IkB,46.0,0.7913367801006604
CD62LpImmatureNeutrophils_STAT5,46.0,0.7913367801006604
CD8Tem_CREB,54.0,0.7913367801006604
CD56dimCD16pNKcells_Frequency,46.0,0.7913367801006604
gdTcells_NFkB,54.0,0.7913367801006604
CD61pCD41pPLT_STAT3,53.5,0.8147534507466488
pDC_p38,47.0,0.8310907900849374
pDC_STAT6,53.0,0.8451983848066009
Th1mem_STAT3,53.0,0.8498835087000991
CD8Tnaive_STAT3,53.0,0.8498835087000991
