,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
artificial.65,0.0,0.89,0.938,0.961,0.974,0.984,0.991,0.995,0.997,0.998
artificial.66,0.0,0.0,0.002,0.003,0.008,0.012,0.018,0.027,0.041,0.056
artificial.67,0.0,0.002,0.009,0.013,0.02,0.03,0.041,0.051,0.078,0.096
artificial.68,0.0,0.005,0.022,0.044,0.069,0.092,0.123,0.148,0.172,0.19
artificial.69,0.0,0.022,0.031,0.046,0.057,0.068,0.084,0.099,0.111,0.123
artificial.70,0.0,0.391,0.538,0.61,0.664,0.696,0.72,0.747,0.765,0.78
artificial.71,0.0,0.006,0.016,0.024,0.036,0.043,0.052,0.058,0.07,0.08
artificial.72,0.0,0.005,0.014,0.016,0.025,0.044,0.056,0.067,0.081,0.093
artificial.73,0.0,0.189,0.297,0.38,0.444,0.5,0.542,0.57,0.6,0.626
artificial.74,0.0,0.006,0.017,0.029,0.038,0.056,0.068,0.079,0.094,0.105
artificial.75,0.0,0.52,0.599,0.656,0.694,0.728,0.756,0.774,0.797,0.816
artificial.76,0.0,0.155,0.243,0.29,0.333,0.369,0.406,0.438,0.471,0.497
artificial.77,0.0,0.152,0.231,0.282,0.302,0.323,0.348,0.372,0.396,0.416
artificial.78,0.0,0.051,0.079,0.098,0.119,0.126,0.133,0.147,0.166,0.187
artificial.79,0.0,0.069,0.099,0.121,0.139,0.153,0.167,0.184,0.2,0.208
artificial.80,0.0,0.098,0.171,0.239,0.294,0.341,0.394,0.437,0.479,0.517
artificial.81,0.0,0.013,0.03,0.051,0.062,0.075,0.085,0.097,0.113,0.127
artificial.82,0.0,0.212,0.314,0.408,0.48,0.523,0.561,0.596,0.632,0.664
artificial.83,0.0,0.661,0.771,0.811,0.832,0.858,0.874,0.893,0.908,0.918
artificial.84,0.0,0.001,0.003,0.006,0.015,0.021,0.023,0.029,0.038,0.043
artificial.85,0.0,0.075,0.136,0.175,0.208,0.234,0.26,0.279,0.299,0.317
artificial.86,0.0,0.322,0.437,0.504,0.562,0.607,0.642,0.685,0.712,0.746
artificial.87,0.0,0.012,0.024,0.036,0.041,0.057,0.072,0.083,0.097,0.113
artificial.88,0.0,0.603,0.702,0.763,0.804,0.826,0.87,0.886,0.899,0.907
artificial.89,0.0,0.012,0.015,0.023,0.039,0.05,0.066,0.078,0.093,0.104
artificial.90,0.0,0.003,0.015,0.021,0.031,0.037,0.047,0.055,0.068,0.084
artificial.91,0.0,0.02,0.032,0.04,0.053,0.067,0.075,0.088,0.099,0.106
artificial.92,0.0,0.372,0.492,0.556,0.597,0.639,0.671,0.704,0.73,0.751
artificial.93,0.0,0.011,0.03,0.048,0.069,0.091,0.106,0.124,0.145,0.172
artificial.94,0.0,0.08,0.098,0.122,0.142,0.162,0.18,0.196,0.216,0.228
artificial.95,0.0,0.012,0.022,0.035,0.063,0.08,0.097,0.115,0.128,0.143
artificial.96,0.0,0.005,0.013,0.033,0.049,0.079,0.106,0.126,0.163,0.185
artificial.97,0.0,0.147,0.222,0.263,0.305,0.341,0.373,0.399,0.428,0.449
artificial.98,0.0,0.136,0.195,0.238,0.272,0.294,0.32,0.336,0.35,0.359
artificial.99,0.0,0.002,0.003,0.006,0.009,0.013,0.016,0.019,0.026,0.032
artificial.100,0.0,0.001,0.011,0.018,0.037,0.055,0.075,0.102,0.116,0.141
artificial.101,0.0,0.063,0.105,0.13,0.153,0.184,0.197,0.218,0.23,0.244
artificial.102,0.0,0.017,0.024,0.029,0.038,0.05,0.07,0.081,0.094,0.115
artificial.103,0.0,0.011,0.038,0.066,0.085,0.106,0.132,0.15,0.172,0.199
artificial.104,0.0,0.0,0.005,0.014,0.026,0.041,0.051,0.071,0.087,0.097
artificial.105,0.0,0.049,0.063,0.084,0.098,0.111,0.13,0.147,0.168,0.194
artificial.106,0.0,0.02,0.048,0.068,0.091,0.112,0.127,0.149,0.161,0.171
artificial.107,0.0,0.421,0.531,0.577,0.607,0.642,0.663,0.685,0.701,0.717
artificial.108,0.0,0.025,0.038,0.05,0.068,0.085,0.099,0.112,0.133,0.147
artificial.109,0.0,0.051,0.083,0.118,0.147,0.167,0.198,0.214,0.229,0.249
artificial.110,0.0,0.245,0.34,0.419,0.49,0.539,0.585,0.625,0.662,0.692
artificial.111,0.0,0.111,0.159,0.2,0.224,0.246,0.272,0.298,0.318,0.337
artificial.112,0.0,0.022,0.046,0.067,0.084,0.103,0.114,0.124,0.139,0.149
artificial.113,0.0,0.101,0.175,0.243,0.286,0.329,0.361,0.39,0.42,0.438
artificial.114,0.0,0.021,0.044,0.06,0.078,0.092,0.117,0.131,0.15,0.168
artificial.115,0.0,0.004,0.005,0.012,0.015,0.021,0.038,0.049,0.061,0.068
artificial.116,0.0,0.262,0.405,0.505,0.584,0.64,0.699,0.739,0.767,0.802
artificial.117,0.0,0.231,0.297,0.355,0.408,0.459,0.485,0.518,0.54,0.568
artificial.118,0.0,0.098,0.163,0.206,0.24,0.286,0.325,0.359,0.385,0.412
artificial.119,0.0,0.057,0.1,0.122,0.154,0.18,0.196,0.217,0.238,0.258
