,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.132,0.0,0.027,0.041,0.05,0.064,0.072,0.078,0.084,0.098,0.108
artificial.133,0.0,0.058,0.072,0.087,0.1,0.105,0.115,0.118,0.129,0.151
artificial.134,0.0,0.114,0.152,0.183,0.207,0.23,0.243,0.261,0.283,0.297
artificial.135,0.0,0.013,0.018,0.025,0.036,0.046,0.053,0.06,0.065,0.07
artificial.136,0.0,0.023,0.039,0.048,0.051,0.062,0.067,0.081,0.092,0.104
artificial.137,0.0,0.035,0.048,0.06,0.072,0.081,0.09,0.1,0.107,0.122
artificial.138,0.0,0.132,0.175,0.201,0.222,0.238,0.258,0.276,0.292,0.304
artificial.139,0.0,0.169,0.204,0.226,0.241,0.267,0.283,0.304,0.31,0.318
artificial.140,0.0,0.064,0.087,0.11,0.123,0.132,0.144,0.153,0.166,0.176
artificial.141,0.0,0.04,0.057,0.087,0.11,0.126,0.137,0.157,0.172,0.18
artificial.142,0.0,0.09,0.131,0.156,0.174,0.203,0.225,0.242,0.259,0.273
artificial.143,0.0,0.085,0.116,0.132,0.156,0.173,0.203,0.217,0.23,0.248
artificial.144,0.0,0.019,0.031,0.052,0.065,0.089,0.11,0.126,0.142,0.154
artificial.145,0.0,0.032,0.05,0.069,0.084,0.103,0.116,0.137,0.15,0.161
artificial.146,0.0,0.09,0.123,0.137,0.151,0.163,0.179,0.196,0.21,0.216
artificial.147,0.0,0.004,0.013,0.02,0.032,0.039,0.047,0.054,0.06,0.071
artificial.148,0.0,0.031,0.046,0.058,0.066,0.082,0.09,0.101,0.11,0.12
artificial.149,0.0,0.049,0.071,0.094,0.115,0.127,0.139,0.145,0.156,0.165
artificial.150,0.0,0.059,0.077,0.099,0.114,0.135,0.151,0.155,0.169,0.181
artificial.151,0.0,0.034,0.056,0.072,0.083,0.106,0.12,0.133,0.153,0.18
artificial.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.006
artificial.153,0.0,0.03,0.041,0.059,0.074,0.083,0.098,0.114,0.122,0.132
artificial.154,0.0,0.117,0.149,0.177,0.192,0.212,0.229,0.241,0.255,0.282
artificial.155,0.0,0.273,0.377,0.457,0.503,0.547,0.585,0.61,0.633,0.655
artificial.156,0.0,0.109,0.148,0.181,0.198,0.21,0.228,0.24,0.25,0.262
artificial.157,0.0,0.296,0.37,0.407,0.428,0.45,0.47,0.493,0.515,0.528
artificial.158,0.0,0.217,0.255,0.296,0.31,0.325,0.348,0.364,0.375,0.389
artificial.159,0.0,0.103,0.143,0.164,0.191,0.214,0.226,0.247,0.263,0.279
artificial.160,0.0,0.024,0.043,0.058,0.072,0.085,0.09,0.102,0.112,0.125
artificial.161,0.0,0.018,0.028,0.043,0.055,0.068,0.076,0.081,0.092,0.1
artificial.162,0.0,0.048,0.073,0.093,0.105,0.115,0.128,0.143,0.152,0.166
artificial.163,0.0,0.066,0.105,0.13,0.152,0.168,0.18,0.199,0.225,0.254
artificial.164,0.0,0.01,0.023,0.028,0.04,0.056,0.076,0.095,0.113,0.131
artificial.165,0.0,0.018,0.03,0.044,0.054,0.064,0.074,0.089,0.101,0.112
artificial.166,0.0,0.034,0.04,0.049,0.06,0.075,0.089,0.1,0.107,0.115
artificial.167,0.0,0.046,0.062,0.077,0.097,0.108,0.12,0.13,0.144,0.154
artificial.168,0.0,0.078,0.1,0.119,0.142,0.158,0.177,0.195,0.206,0.225
artificial.169,0.0,0.193,0.232,0.259,0.285,0.31,0.333,0.361,0.374,0.392
artificial.170,0.0,0.004,0.007,0.011,0.012,0.014,0.017,0.018,0.02,0.023
artificial.171,0.0,0.006,0.015,0.027,0.032,0.038,0.052,0.058,0.07,0.074
artificial.172,0.0,0.006,0.011,0.012,0.015,0.023,0.025,0.03,0.035,0.046
artificial.173,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.006,0.014,0.016
artificial.174,0.0,0.096,0.117,0.141,0.167,0.186,0.201,0.219,0.242,0.254
artificial.175,0.0,0.132,0.167,0.187,0.212,0.239,0.259,0.279,0.292,0.311
artificial.176,0.0,0.022,0.037,0.048,0.059,0.068,0.078,0.09,0.103,0.123
artificial.177,0.0,0.054,0.07,0.089,0.106,0.119,0.129,0.147,0.158,0.169
artificial.178,0.0,0.051,0.085,0.105,0.122,0.132,0.147,0.159,0.171,0.185
artificial.179,0.0,0.009,0.021,0.028,0.036,0.044,0.056,0.065,0.073,0.083
artificial.180,0.0,0.071,0.112,0.139,0.163,0.186,0.209,0.236,0.255,0.269
artificial.181,0.0,0.037,0.055,0.073,0.092,0.1,0.111,0.127,0.138,0.15
artificial.182,0.0,0.003,0.011,0.019,0.028,0.036,0.047,0.055,0.068,0.078
