Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
CD56loCD16posNK_149Sm_CREB_IFNa,0.005162797711015537,1.0
CD8Tnaive_159Tb_MAPKAPK2_IFNa,0.00538295211317262,1.0
CD8Tem_149Sm_CREB_IFNa,0.005472692074462321,1.0
Bcells_150Nd_STAT5_IL246,0.005748642963078566,1.0
intMCs_153Eu_STAT1_IL246,0.005801958010219556,1.0
NKT_167Er_ERK_IL246,0.0063007946171873075,1.0
CD8Teff_159Tb_MAPKAPK2_IFNa,0.0068684038128887185,1.0
CD4Tem_159Tb_MAPKAPK2_unstim,0.006890749000588968,1.0
mDCs_154Sm_STAT3_IL246,0.00782777479970674,1.0
Tregs_159Tb_MAPKAPK2_unstim,0.007888564120889171,1.0
CD4Tnaive_155Gd_S6_IFNa,0.007929274344388032,1.0
Bcells_155Gd_S6_LPS,0.008213081861706823,1.0
MDSCs_151Eu_p38_GMCSF,0.00882421209883863,1.0
cMCs_154Sm_STAT3_IL246,0.009007289445698539,1.0
CD8Tnaive_156Gd_IkB_unstim,0.009121609964206221,1.0
Bcells_156Gd_IkB_IFNa,0.010122481624498114,1.0
ncMCs_166Er_NFkB_GMCSF,0.010162290946418618,1.0
CD4Tem_156Gd_IkB_unstim,0.010554057014099793,1.0
CD56hiCD16negNK_159Tb_MAPKAPK2_unstim,0.010654277619473417,1.0
CD4Tcm_159Tb_MAPKAPK2_unstim,0.010834612007996739,1.0
CD8Tcm_159Tb_MAPKAPK2_IFNa,0.011201911353015705,1.0
CD56loCD16posNK_150Nd_STAT5_IFNa,0.011328549557512892,1.0
CD4Tcm_156Gd_IkB_unstim,0.011404472782148086,1.0
cMCs_166Er_NFkB_GMCSF,0.01142915308541847,1.0
CD56hiCD16negNK_149Sm_CREB_unstim,0.012294820184320118,1.0
intMCs_149Sm_CREB_IFNa,0.01240635571502425,1.0
CD56hiCD16negNK_149Sm_CREB_IFNa,0.012685306138105762,1.0
Tregs_156Gd_IkB_unstim,0.013703661473311254,1.0
CD8Tem_166Er_NFkB_IFNa,0.013866352222301417,1.0
CD8Tcm_156Gd_IkB_unstim,0.01421350602921471,1.0
CD4Tnaive_156Gd_IkB_IFNa,0.014427738019016643,1.0
CD4Tnaive_156Gd_IkB_unstim,0.014999642011762392,1.0
CD4Tnaive_167Er_ERK_IFNa,0.015094848306002455,1.0
CD8Tem_159Tb_MAPKAPK2_unstim,0.0156476012835159,1.0
Bcells_156Gd_IkB_unstim,0.0159323925712974,1.0
mDCs_151Eu_p38_LPS,0.015959035645022622,1.0
CD4negCD8negTcells_156Gd_IkB_unstim,0.016566416622746622,1.0
Granulocytes_168Er_STAT6_GMCSF,0.01659248468347631,1.0
CD56loCD16posNK_156Gd_IkB_LPS,0.016938382237666867,1.0
pDCs_168Er_STAT6_GMCSF,0.017057173481857764,1.0
CD8Tcm_149Sm_CREB_IFNa,0.017553430162159617,1.0
