,Mann-Whitney U-test,p-value
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,3071.5,0.02077830224574469
Tumor proliferating_tumorfront_E-Cadherin,3077.5,0.021060601454436022
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,1952.0,0.021481615671086987
CD4 T cells regulatory_tumorfront_area,3072.5,0.021996177065996964
B cells_tumorfront_CD36,3068.0,0.022092400689533775
CD8 T cells_intratumor_E-Cadherin,3070.0,0.022475724820296614
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,3069.0,0.022999411590195543
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3039.5,0.02306236510733801
CD8 T cells_tumorfront_E-Cadherin,3068.0,0.02332255918685704
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,3062.0,0.0248459906355149
CD4 T cells memory_stromal_pSTAT3,3057.5,0.02607320816926251
Tumor proliferating_intratumor_CD36,3055.0,0.026742329792129392
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3052.0,0.027579509286680497
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,3043.0,0.027975170811180068
B cells_stromal_pSTAT1,3050.0,0.028083935531237177
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,3050.0,0.028201099810111967
CD4 T cells regulatory_tumorfront_pCREB,3049.0,0.02822108711934874
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,1975.5,0.028292172567806688
CD8 T cells_tumorfront_area,3049.5,0.0283428648413255
Tumor non-proliferating_stromal_VEGF,1976.0,0.02837573743437266
CD8 T cells_tumorfront_Ki67,3048.0,0.02878815055561292
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,1978.5,0.02917971636911335
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3041.5,0.02920288230402925
Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells,3043.5,0.029384761289107747
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,3041.0,0.03034837293458031
Vessel_tumorfront_eccentricity,3040.0,0.03127149826506698
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,3038.5,0.0315762923937015
Myeloid Monocytes_stromal_area,3039.0,0.03159348454146374
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,1986.5,0.03175491508795007
CD8 T cells_intratumor_CD44,3034.0,0.03278342713765357
Tumor non-proliferating_intratumor_eccentricity,1991.0,0.033247514735035955
CD4 T cells memory_tumorfront_CD36,3031.5,0.03409979466843414
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,3023.0,0.0348754842943931
Tumor non-proliferating_tumorfront_E-Cadherin,3029.0,0.03497489899630799
Tumor non-proliferating_intratumor_pSTAT1,3028.0,0.035329420355952705
