,Fold selected features,Fold nb of features
Fold 110,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 111,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 112,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 113,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 114,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 115,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 116,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 117,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 118,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 119,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 120,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 121,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 122,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 123,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 124,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 125,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 126,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 127,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 128,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
