cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
TCRgdposT_STAT5_IL246,153.11827068755454,150.3669258576056,0.010148886039133796,-8.30755362212817e-5,-0.006111390191630654,quadratic,deceleration/increase
TCRgdposT_p38_IL246,1163.7999630255708,-1164.2393687386789,0.252089502282411,-7.412065383957464e-7,-6.63043365916699e-5,quadratic,deceleration/increase
TCRgdposT_STAT1_IL246,382.53690965321744,-380.6135743146303,0.18615616397591742,-1.7835971216209895e-6,4.711665786298838e-5,quadratic,deceleration/increase
TCRgdposT_STAT3_IL246,32.84095315980532,34.54535100701809,0.07173738661268492,-1.3980269852205665e-5,-1.672571080712434e-4,linear,linear
TCRgdposT_S6_IL246,656.4037404927188,-655.4065603458246,0.5023107202271967,-2.5851026763449876e-6,-2.1204615934907012e-4,quadratic,deceleration/increase
TCRgdposT_IkB_IL246,692.8868330938392,-690.8873867386086,0.07153535861652431,-5.3875623635562153e-8,1.0388833378981035e-4,quadratic,deceleration/increase
TCRgdposT_MAPKAPK2_IL246,658.1650687027675,-661.5135025519451,0.027309607514333388,-5.892444552652216e-6,-4.922983452007872e-4,quadratic,deceleration/increase
TCRgdposT_NFkB_IL246,487.83561452300415,-485.90933261063344,0.5808415424575908,-1.2312686629696278e-6,-5.6788690852894734e-5,quadratic,deceleration/increase
TCRgdposT_ERK_IL246,469.00656594116066,-482.6800277946706,4.567903155245617e-4,-1.8630023559747977e-5,-0.0018384734962822388,quadratic,deceleration/increase
TCRgdposT_STAT6_IL246,40.118956663298675,37.25400934621474,0.027452497582941757,-5.766853222874009e-5,-0.004663415608530084,quadratic,deceleration/increase
CD4Tcells_CREB_IL246,1007.1833163501458,-1010.8356828220515,0.026195266254758143,-1.8915726816823038e-6,-2.1668019817436314e-4,quadratic,acceleration/decrease
CD4Tcells_STAT5_IL246,88.61172584486557,85.2167090109975,0.03803289389746877,-7.132063685969055e-5,-0.0061952009620224865,quadratic,deceleration/increase
CD4Tcells_p38_IL246,1504.0863031411934,-1504.5426914236202,0.29471354650265225,-2.392315975072662e-7,-2.3084265867234113e-5,quadratic,deceleration/increase
CD4Tcells_STAT1_IL246,204.81996792795442,-204.45461772223075,8.88034694631426e-5,-1.4854447479248644e-5,-2.467505462123026e-4,quadratic,deceleration/increase
CD4Tcells_STAT3_IL246,209.979696394055,208.33164499289282,0.07758783326964297,-8.814659913346007e-5,-0.007266426755552351,quadratic,deceleration/increase
CD4Tcells_S6_IL246,811.6769028523314,-809.7907134920549,0.3810415284405162,5.197804367835357e-7,8.742294527944958e-5,quadratic,acceleration/increase
CD4Tcells_IkB_IL246,665.7774202106752,-665.0571922239435,0.5356067277724466,-2.8291934128455263e-6,-2.4118984593572246e-4,quadratic,deceleration/increase
CD4Tcells_MAPKAPK2_IL246,867.5412963292227,-868.6806854218466,0.014029343414170581,-2.2547222397434693e-6,-1.4525884761261453e-4,quadratic,deceleration/increase
CD4Tcells_NFkB_IL246,613.0899550129769,-611.1193555879089,0.8966588783089104,5.122141294560682e-7,4.085495991628799e-5,quadratic,deceleration/decrease
CD4Tcells_ERK_IL246,753.1860461505241,-754.9978379922559,0.0991505191130457,-3.6332595415937007e-6,-3.156866309631711e-4,quadratic,deceleration/increase
CD4Tcells_STAT6_IL246,88.63698877394378,82.4913682470214,0.006995680266740447,-8.724518996803986e-5,-0.007556434608751121,quadratic,deceleration/increase
CD4posTnaive_CREB_IL246,1263.3170010427907,-1267.2979447858074,0.05060244258292754,-8.280660031945132e-7,-8.550734893217194e-5,quadratic,acceleration/decrease
CD4posTnaive_STAT5_IL246,36.65248675586838,33.88037493418578,0.0185230167143612,-5.6468173523139856e-5,-0.0043747325288301326,quadratic,deceleration/increase
CD4posTnaive_p38_IL246,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
CD4posTnaive_STAT1_IL246,85.02193638859397,-83.86108498069096,6.8827488975954345e-6,-1.588780865409693e-5,5.452869464149454e-4,quadratic,deceleration/increase
CD4posTnaive_STAT3_IL246,228.14106180826556,227.25686026178602,0.14425010125262988,-8.337388617559803e-5,-0.006980135796150875,quadratic,deceleration/increase
CD4posTnaive_S6_IL246,818.6594816660087,-816.8338182532549,0.3810789406243761,6.284498779981039e-7,9.743681540607786e-5,quadratic,acceleration/increase
CD4posTnaive_IkB_IL246,628.186205854987,-627.1314725191073,0.583211347382707,-2.757618509234376e-6,-2.3389517673893043e-4,quadratic,deceleration/increase
CD4posTnaive_MAPKAPK2_IL246,789.8881123155111,-792.3098435022051,0.10514041402944309,-3.459050089103023e-6,-3.267905800759956e-4,quadratic,deceleration/increase
CD4posTnaive_NFkB_IL246,614.1977029414508,-612.1991278581614,0.6618430072623289,1.1235308512624677e-7,4.5495619535679307e-5,quadratic,acceleration/increase
CD4posTnaive_ERK_IL246,734.9264121457607,-734.1902593116449,0.23745109039972412,-2.23280967416802e-6,-1.6056884994134816e-4,quadratic,deceleration/increase
CD4posTnaive_STAT6_IL246,87.54808110208897,83.41836737670306,0.013453293586092409,-7.566076647754302e-5,-0.006222668414573463,quadratic,deceleration/increase
CD4Tef_CREB_IL246,1527.9961235083076,-1529.2281793693746,0.17514734010512326,-2.5306773506329524e-7,-2.7336169461407096e-5,quadratic,acceleration/decrease
CD4Tef_STAT5_IL246,61.24898056454906,59.62929559754388,0.011655938388758506,-5.3483664904858524e-5,-0.0035904025653103245,quadratic,deceleration/increase
CD4Tef_p38_IL246,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
CD4Tef_STAT1_IL246,92.52008391010617,-92.6140753770088,1.7979848496167282e-4,-2.4427022564340826e-5,-6.477913967022415e-4,quadratic,deceleration/increase
CD4Tef_STAT3_IL246,231.33410123704732,230.33802027030924,0.15701800856378162,-8.586885990365798e-5,-0.007409023744167108,quadratic,deceleration/increase
CD4Tef_S6_IL246,659.3620767712273,-657.3772805431132,0.626187441607923,3.156994561836606e-7,-1.3779994421391009e-6,quadratic,deceleration/decrease
CD4Tef_IkB_IL246,576.7449759337588,-576.0323856706767,0.982801909536947,-3.818008337296556e-6,-3.826113625415563e-4,quadratic,acceleration/decrease
CD4Tef_MAPKAPK2_IL246,661.0830697464633,-661.0421853279065,0.9836352855731403,-3.551659239978938e-6,-3.555142853102046e-4,quadratic,acceleration/decrease
CD4Tef_NFkB_IL246,421.19272722014284,-421.03424810147845,0.5373629596278744,7.662162599595992e-6,8.560556151567605e-4,quadratic,acceleration/increase
CD4Tef_ERK_IL246,588.3689061494416,-586.9145807419444,0.9008799622202222,2.394166339694861e-6,2.4936491711213327e-4,quadratic,acceleration/increase
CD4Tef_STAT6_IL246,106.20106038763691,102.23794933792733,0.02565735746387904,-7.943462016512513e-5,-0.006862815383327839,quadratic,deceleration/increase
