,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.110,0.0,0.521,0.592,0.624,0.651,0.674,0.691,0.708,0.726,0.738
artificial.111,0.0,0.072,0.085,0.095,0.104,0.112,0.122,0.126,0.134,0.139
artificial.112,0.0,0.05,0.064,0.069,0.078,0.084,0.092,0.094,0.102,0.107
artificial.113,0.0,0.023,0.03,0.037,0.041,0.043,0.044,0.047,0.051,0.054
artificial.114,0.0,0.069,0.092,0.108,0.115,0.125,0.13,0.139,0.146,0.165
artificial.115,0.0,0.064,0.079,0.091,0.098,0.108,0.115,0.118,0.127,0.13
artificial.116,0.0,0.023,0.031,0.033,0.04,0.043,0.046,0.048,0.049,0.055
artificial.117,0.0,0.129,0.158,0.17,0.18,0.195,0.206,0.215,0.224,0.233
artificial.118,0.0,0.037,0.049,0.057,0.063,0.065,0.073,0.074,0.077,0.078
artificial.119,0.0,0.038,0.055,0.064,0.073,0.077,0.084,0.088,0.091,0.093
artificial.120,0.0,0.068,0.087,0.092,0.103,0.113,0.124,0.129,0.131,0.133
artificial.121,0.0,0.02,0.032,0.036,0.041,0.045,0.047,0.047,0.051,0.058
artificial.122,0.0,0.066,0.091,0.111,0.119,0.123,0.131,0.139,0.152,0.159
artificial.123,0.0,0.015,0.023,0.025,0.029,0.03,0.032,0.034,0.037,0.038
artificial.124,0.0,0.018,0.028,0.03,0.037,0.04,0.045,0.046,0.048,0.049
artificial.125,0.0,0.115,0.138,0.158,0.17,0.179,0.185,0.192,0.201,0.21
artificial.126,0.0,0.029,0.041,0.047,0.06,0.066,0.069,0.071,0.078,0.081
artificial.127,0.0,0.014,0.024,0.036,0.04,0.042,0.051,0.052,0.055,0.058
artificial.128,0.0,0.207,0.263,0.292,0.314,0.33,0.353,0.36,0.379,0.394
artificial.129,0.0,0.074,0.092,0.099,0.113,0.123,0.128,0.13,0.143,0.15
artificial.130,0.0,0.009,0.023,0.037,0.041,0.044,0.048,0.048,0.056,0.057
artificial.131,0.0,0.075,0.098,0.109,0.12,0.132,0.139,0.144,0.15,0.16
artificial.132,0.0,0.025,0.04,0.049,0.057,0.067,0.073,0.079,0.085,0.086
artificial.133,0.0,0.031,0.043,0.056,0.063,0.069,0.072,0.071,0.075,0.081
artificial.134,0.0,0.092,0.12,0.134,0.143,0.155,0.162,0.168,0.172,0.177
artificial.135,0.0,0.072,0.086,0.095,0.103,0.11,0.118,0.127,0.133,0.142
artificial.136,0.0,0.116,0.152,0.175,0.188,0.203,0.209,0.217,0.23,0.238
