,Mann-Whitney U-test,p-value
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,866.5,0.004009734466341722
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,879.0,0.0040848392692007405
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,870.5,0.0040880613763899076
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,380.5,0.004185656724030632
Tumor proliferating_intratumor_pp38,879.0,0.004224387512269188
Fibroblasts_stromal_CD44,879.0,0.004262914731125052
CD8 T cells_intratumor_pSTAT3,874.0,0.004288388865194011
CD4 T cells regulatory_tumorfront_pSTAT3,877.5,0.00444521950305013
CD4 T cells regulatory_stromal_VEGF,877.0,0.004575475783720151
CD4 T cells memory_tumorfront_CD44,877.0,0.00458195025621576
CD4 T cells regulatory_tumorfront_pSTAT1,876.0,0.004692295899423797
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,872.5,0.00471805298766619
Tumor non-proliferating_intratumor_pCREB,875.0,0.004923187762084489
Tumor proliferating_tumorfront_pCREB,874.5,0.005011554572447951
B cells_stromal_CD36,873.0,0.005030845422042383
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,873.5,0.0050867095082325715
CD4 T cells regulatory_tumorfront_pMAPKAPK2,873.0,0.00524116840117728
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,873.0,0.0052735120467071435
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,867.5,0.005315534227731054
B cells_stromal_E-Cadherin,871.0,0.005403875753960727
CD8 T cells_stromal_cellfrequency,871.5,0.00557137667369865
CD8 T cells_tumorfront_VEGF,871.0,0.005660517276618062
Tumor non-proliferating_tumorfront_VEGF,871.0,0.005674631022354611
Myeloid DCs_tumorfront_VEGF,871.0,0.005674631022354611
Tumor proliferating_intratumor_Ki67,870.0,0.00582831678878995
CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells,869.5,0.005829667855167947
CD4 T cells naive_tumorfront_VEGF,867.5,0.005992785669046451
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,868.0,0.006106838733638584
