,Mann-Whitney U-test,p-value
Myeloid Monocytes_tumorfront_VEGF,528.5,0.2722323540752176
CD4 T cells memory_stromal_VEGF,528.5,0.2722685343869954
CD4 T cells memory_stromal_pNFkB,528.5,0.2722685343869954
CD4 T cells naive_tumorfront_Ki67,529.0,0.2747879913346336
CD4 T cells naive_tumorfront_pNFkB,529.5,0.27734761766250815
Myeloid DCs_stromal_pNFkB,530.0,0.2784436143390615
CD4 T cells regulatory_stromal_VEGF,530.0,0.27902678278316995
CD8 T cells_intratumor_VEGF,718.0,0.27902678278316995
Tumor non-proliferating_tumorfront_CD44,717.0,0.28509062148336317
Fibroblasts_stromal_GranzymeB,531.0,0.28509062148336317
Myeloid M1 macrophages_tumorfront_pSTAT3,531.5,0.2876983855659674
CD8 T cells_stromal_E-Cadherin,532.0,0.290330326500696
Myeloid M1 macrophages_stromal_GranzymeB,533.0,0.2956344504288059
Myeloid Monocytes_stromal_pNFkB,534.0,0.3010030682553444
Myeloid M2 macrophages_tumorfront_pp38,713.5,0.3033708187211712
Tumor non-proliferating_stromal_Ki67,535.0,0.303663321390245
Tumor proliferating_intratumor_pSTAT1,713.0,0.3062942690422493
Tumor non-proliferating_stromal_pp38,536.0,0.3091598213011657
Myeloid Monocytes_tumorfront_pNFkB,535.5,0.3091729885699689
Fibroblasts_stromal_pMAPKAPK2,537.0,0.31749638741282116
Myeloid M2 macrophages_stromal_GranzymeB,537.5,0.32029775790669324
CD4 T cells regulatory_tumorfront_pSTAT1,708.5,0.32089939443539806
Myeloid Granulocytes_tumorfront_pSTAT1,709.0,0.32248682106209015
Fibroblasts_stromal_pp38,538.0,0.32312339906531407
Myeloid M2 macrophages_stromal_pSTAT3,538.5,0.32595708204317264
Myeloid M1 macrophages_stromal_Ki67,539.0,0.3288150289447912
Vessel_tumorfront_pMAPKAPK2,539.0,0.3288150289447912
Myeloid Monocytes_tumorfront_pS6,539.5,0.33168101434356345
CD8 T cells_tumorfront_pERK,540.0,0.3345671981488394
Vessel_tumorfront_CD44,708.0,0.3345712503307764
Tumor non-proliferating_stromal_CD36,540.5,0.3363122777571501
Myeloid DCs_tumorfront_pSTAT1,705.5,0.33711004236750564
CD8 T cells_tumorfront_E-Cadherin,707.0,0.3403879705728624
Tumor non-proliferating_tumorfront_VEGF,541.0,0.3403920188510102
Myeloid M1 macrophages_tumorfront_CD36,707.0,0.3403920188510102
CD8 T cells_stromal_Ki67,542.5,0.3492400162153031
Vessel_stromal_CD44,705.0,0.35222693046633524
Fibroblasts_stromal_pSTAT3,543.0,0.35222693046633524
