;C'=' 0.041;C'=' 0.487;C'=' 0.933;C'=' 1.379;C'=' 1.825;C'=' 2.271;C'=' 2.717;C'=' 3.163;C'=' 3.609;C'=' 4.055
pDC_STAT3;0.0;0.002;0.006;0.016;0.026;0.04;0.051;0.06;0.073;0.083
pDC_S6;0.0;0.07;0.101;0.125;0.148;0.167;0.184;0.197;0.218;0.238
pDC_IkB;0.0;0.041;0.063;0.08;0.108;0.129;0.156;0.164;0.179;0.2
pDC_NFkB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pDC_MAPKAPK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pDC_Frequency;0.0;0.002;0.008;0.019;0.027;0.027;0.033;0.039;0.047;0.052
Th1mem_CREB;0.0;0.005;0.01;0.014;0.02;0.025;0.034;0.041;0.044;0.05
Th1mem_STAT5;0.0;0.002;0.004;0.005;0.008;0.009;0.011;0.017;0.021;0.026
Th1mem_p38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Th1mem_STAT3;0.0;0.001;0.002;0.002;0.004;0.005;0.008;0.01;0.014;0.014
Th1mem_S6;0.0;0.47;0.575;0.636;0.682;0.713;0.736;0.758;0.775;0.782
Th1mem_IkB;0.0;0.0;0.001;0.004;0.006;0.007;0.008;0.009;0.01;0.013
Th1mem_NFkB;0.0;0.001;0.006;0.007;0.009;0.014;0.017;0.019;0.026;0.029
Th1mem_STAT6;0.0;0.017;0.03;0.035;0.041;0.053;0.064;0.071;0.08;0.089
Th1mem_MAPKAPK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Th1naive_CREB;0.0;0.414;0.52;0.58;0.616;0.645;0.669;0.688;0.709;0.726
Th1naive_STAT5;0.0;0.013;0.026;0.042;0.057;0.073;0.083;0.093;0.107;0.114
Th1naive_p38;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.002;0.003
Th1naive_STAT3;0.0;0.01;0.02;0.034;0.041;0.05;0.056;0.061;0.067;0.076
Th1naive_S6;0.0;0.322;0.406;0.463;0.493;0.532;0.567;0.6;0.618;0.636
Th1naive_IkB;0.0;0.034;0.057;0.086;0.11;0.137;0.154;0.174;0.188;0.211
Th1naive_NFkB;0.0;0.0;0.0;0.001;0.002;0.005;0.007;0.008;0.011;0.013
Th1naive_ERK;0.0;0.053;0.077;0.099;0.119;0.126;0.136;0.143;0.163;0.175
Th1naive_STAT6;0.0;0.077;0.14;0.17;0.209;0.229;0.258;0.283;0.301;0.316
Th1naive_MAPKAPK2;0.0;0.158;0.21;0.253;0.294;0.326;0.34;0.369;0.39;0.408
Tregmem_p38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregmem_STAT3;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.002;0.003
Tregmem_IkB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregmem_NFkB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregmem_MAPKAPK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregmem_Frequency;0.0;0.002;0.004;0.004;0.007;0.008;0.01;0.017;0.023;0.028
Tregnaive_STAT5;0.0;0.009;0.015;0.02;0.026;0.033;0.038;0.042;0.049;0.057
Tregnaive_p38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregnaive_STAT3;0.0;0.0;0.0;0.0;0.0;0.001;0.002;0.003;0.006;0.006
Tregnaive_IkB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tregnaive_NFkB;0.0;0.0;0.001;0.004;0.005;0.009;0.013;0.014;0.02;0.022
Tregnaive_ERK;0.0;0.027;0.05;0.069;0.084;0.088;0.097;0.108;0.12;0.133
Tregnaive_STAT6;0.0;0.079;0.117;0.142;0.156;0.178;0.198;0.211;0.225;0.242
Tregnaive_MAPKAPK2;0.0;0.0;0.0;0.0;0.002;0.004;0.007;0.01;0.011;0.014
Tregnaive_Frequency;0.0;0.0;0.0;0.003;0.005;0.006;0.008;0.014;0.02;0.031
