,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.118,0.0,0.011,0.015,0.015,0.016,0.016,0.017,0.018,0.02,0.019
artificial.119,0.0,0.005,0.007,0.008,0.008,0.007,0.009,0.007,0.008,0.009
artificial.120,0.0,0.017,0.021,0.026,0.029,0.035,0.036,0.035,0.038,0.037
artificial.121,0.0,0.0,0.0,0.001,0.002,0.003,0.004,0.004,0.004,0.004
artificial.122,0.0,0.014,0.014,0.018,0.019,0.02,0.022,0.023,0.022,0.027
artificial.123,0.0,0.002,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005
artificial.124,0.0,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003
artificial.125,0.0,0.028,0.038,0.043,0.045,0.047,0.047,0.05,0.049,0.051
artificial.126,0.0,0.005,0.005,0.007,0.008,0.009,0.01,0.01,0.01,0.009
artificial.127,0.0,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004
artificial.128,0.0,0.056,0.083,0.093,0.095,0.094,0.095,0.098,0.1,0.101
artificial.129,0.0,0.021,0.029,0.033,0.033,0.033,0.034,0.033,0.036,0.036
artificial.130,0.0,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004
artificial.131,0.0,0.017,0.023,0.023,0.024,0.026,0.027,0.03,0.033,0.034
artificial.132,0.0,0.002,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.005
artificial.133,0.0,0.006,0.013,0.018,0.019,0.02,0.021,0.021,0.022,0.023
artificial.134,0.0,0.029,0.041,0.053,0.056,0.059,0.06,0.062,0.062,0.064
artificial.135,0.0,0.03,0.039,0.042,0.043,0.042,0.041,0.043,0.043,0.042
artificial.136,0.0,0.037,0.048,0.049,0.05,0.05,0.053,0.054,0.058,0.056
