,coor1,coor2,cluster,pvalue_anova
Tregmem_pMAPKAPK2,17.033478,0.077449776,0,0.4733308421700756
Th1_pMAPKAPK2,16.327322,1.8822862,0,0.9779807664921382
Th1mem_pMAPKAPK2,16.335484,1.5833142,0,0.890260037108595
Th1naive_pMAPKAPK2,16.599676,2.9494393,0,0.9680102839225916
Th2_pMAPKAPK2,16.514032,0.56323576,0,0.7670233304599894
CD8T_pMAPKAPK2,15.728426,0.42430595,0,0.6580958417160699
CD8Tmem_pMAPKAPK2,15.816781,-0.4278719,0,0.967948294889463
CD8Tnaive_pMAPKAPK2,15.740732,1.1880627,0,0.6776147016770862
Granulocytes_NFkB,9.231946,2.5542483,6,0.6863035483862474
Bcells_NFkB,18.271996,14.555692,2,0.1915996730494351
Bmem_NFkB,18.85513,15.474938,2,0.05192153439872316
Bnaive_NFkB,18.103987,14.209243,2,0.16540297590146974
Baso_NFkB,8.648048,1.0397611,9,0.7258705674539417
cMC_NFkB,17.53191,14.132948,2,0.22949681707575958
MDSC_NFkB,16.962036,12.44266,2,0.612964625281708
DC_NFkB,-8.891542,-5.46054,8,0.1251912458865971
mDC_NFkB,8.821874,1.0214055,9,0.4144357794577308
pDC_NFkB,17.483377,13.053359,2,0.49836546845304297
intMC_NFkB,17.883883,15.045271,2,0.13047198089635192
ncMC_NFkB,7.31651,2.1764958,9,0.15553015329227093
NK_NFkB,18.205502,13.783015,2,0.2774267696422333
CD56brightCD16negNK_NFkB,18.62284,14.020509,2,0.8224140233487567
CD56dimCD16posNK_NFkB,18.284073,14.049409,2,0.4661318898534096
gdT_NFkB,20.819803,16.560522,2,0.415786620338391
Tcells_NFkB,19.704844,16.967627,2,0.35303457889281575
CD4T_NFkB,19.694706,17.479713,2,0.3268485459250705
CD4Tnaive_NFkB,19.57257,17.377392,2,0.3880353709871349
CD4Tmem_NFkB,19.979301,17.176804,2,0.33670460903105126
Treg_NFkB,20.608646,17.108374,2,0.5157229721579684
Tregnaive_NFkB,21.075449,17.376545,2,0.7974256378255932
Tregmem_NFkB,20.602137,17.085886,2,0.46562044363201516
Th1_NFkB,20.558033,17.832739,2,0.3113624533558274
Th1mem_NFkB,20.367952,18.049213,2,0.4082095449230838
Th1naive_NFkB,20.901283,17.85346,2,0.19213089306037354
Th2_NFkB,20.15597,17.883896,2,0.40978287580384387
CD8T_NFkB,19.863117,16.455702,2,0.31697537039075724
CD8Tmem_NFkB,20.219234,16.471949,2,0.3355375328568706
CD8Tnaive_NFkB,19.549797,16.46345,2,0.4248818949960609
Granulocytes_p38,-10.864168,-13.686914,1,0.38508475364983386
Bcells_p38,-9.559539,-15.159393,1,0.354989927353457
Bmem_p38,-9.143928,-14.717232,1,0.4406092071759671
Bnaive_p38,-9.541248,-15.043236,1,0.29614467327156113
Baso_p38,-7.9858937,-11.3544445,1,0.48550958057830385
cMC_p38,19.685482,3.6344042,0,0.9329391108563415
MDSC_p38,19.643353,3.7211287,0,0.8378114843395846
DC_p38,-10.244518,-12.484836,1,0.4428396237551532
mDC_p38,20.155897,2.3071704,0,0.7244734211157227
pDC_p38,-8.8535185,-16.002565,1,0.8039728423666296
intMC_p38,20.143385,2.5040662,0,0.9328493256962238
ncMC_p38,-11.423521,-13.31557,1,0.9604699953438932
NK_p38,-12.30765,-14.680453,1,0.6232254270823168
CD56brightCD16negNK_p38,-12.890453,-14.736151,1,0.568814507631381
CD56dimCD16posNK_p38,-12.217344,-14.622786,1,0.6237567442768581
gdT_p38,-11.945601,-14.069019,1,0.9184536580573963
Tcells_p38,-11.5394945,-14.742428,1,0.9407274102874772
CD4T_p38,-11.289178,-14.99528,1,0.9726107316846775
CD4Tnaive_p38,-11.778909,-15.317225,1,0.94756618787683
CD4Tmem_p38,-11.115194,-14.956898,1,0.9911373639523494
Treg_p38,-10.56414,-15.849339,1,0.7388133040750162
Tregnaive_p38,-11.562996,-15.874319,1,0.8620674353191082
Tregmem_p38,-10.456039,-15.897814,1,0.7276238013042748
Th1_p38,-10.7172365,-14.566518,1,0.7486625582995763
Th1mem_p38,-10.771437,-14.525491,1,0.6784956966249881
Th1naive_p38,-11.119488,-16.480457,1,0.9542129390260465
Th2_p38,-10.580273,-15.145173,1,0.7469376927864885
CD8T_p38,-11.998143,-14.865057,1,0.8867311671969033
CD8Tmem_p38,-11.592123,-15.41359,1,0.9569741013437012
CD8Tnaive_p38,-12.273385,-15.299063,1,0.6884681753184911
Granulocytes_S6,16.921736,17.525177,2,0.5817440761710557
Bcells_S6,18.715466,18.948498,2,0.3798024781063718
Bmem_S6,18.561708,18.973455,2,0.7528324101814227
Bnaive_S6,18.877604,18.85598,2,0.4005088948892016
Baso_S6,18.63838,17.493868,2,0.9111615456405646
cMC_S6,15.835892,7.384616,6,0.8879779414417442
MDSC_S6,15.855135,7.3352075,6,0.7735387052768449
DC_S6,1.5350074,-4.443427,9,0.19478894415208273
mDC_S6,15.115627,6.261583,6,0.33466147954255854
pDC_S6,4.7845426,-1.2634718,9,0.375623807373634
intMC_S6,15.484937,6.6503954,6,0.5638165375555362
ncMC_S6,2.6727922,-2.8956618,9,0.8573728335933728
NK_S6,-3.877614,-3.9768016,4,0.816955532821998
CD56brightCD16negNK_S6,-3.8020868,-4.6458683,4,0.45193052469640516
CD56dimCD16posNK_S6,-4.1459236,-3.887651,4,0.7731059667416199
gdT_S6,-3.01558,-4.1909013,4,0.4425737837257462
Tcells_S6,-3.894604,-3.3705134,4,0.7660189666635061
CD4T_S6,-3.7473402,-3.1727412,4,0.8225134962910869
CD4Tnaive_S6,-4.0383515,-3.37198,4,0.669511193862959
CD4Tmem_S6,-3.5046203,-3.2250466,4,0.8084169216134867
Treg_S6,-4.0729384,-2.752127,4,0.7569555860299984
Tregnaive_S6,-2.8216767,-3.4896827,4,0.10518235363483035
Tregmem_S6,-4.121974,-2.7031813,4,0.7793832480359653
Th1_S6,-2.0318382,-2.496031,4,0.7949273910890321
Th1mem_S6,-2.163967,-2.487904,4,0.9175926306396012
Th1naive_S6,-1.3191558,-2.4962535,4,0.9179200953374563
Th2_S6,-3.1995516,-2.320893,4,0.7768628721854827
CD8T_S6,-4.4401093,-3.5480938,4,0.9370725292383576
CD8Tmem_S6,-4.576388,-3.0303755,4,0.972187586586236
CD8Tnaive_S6,-4.568569,-3.6753068,4,0.6438382553004719
Granulocytes_STAT1,-21.320608,-5.3951483,3,0.8408638705392719
Bcells_STAT1,-22.196217,-3.9798493,3,0.7438556345272865
Bmem_STAT1,-22.005877,-5.554714,3,0.44751885564845484
Bnaive_STAT1,-22.876926,-3.8926802,3,0.3188863742676095
Baso_STAT1,-24.805899,-5.478146,3,0.8925854506248261
cMC_STAT1,-22.449057,-1.4385387,3,0.18221472778726
