,Fold selected features,Fold nb of features
Fold 47,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area']",6
Fold 48,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_tumorfront_pS6', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",8
Fold 49,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Myeloid M1 macrophages_tumorfront_celldistance']",4
Fold 50,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells memory_stromal_area', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 51,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_tumorfront_eccentricity']",9
Fold 52,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Myeloid M2 macrophages_stromal_eccentricity']",6
Fold 53,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'B cells_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",7
Fold 54,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance']",5
Fold 55,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Vessel_tumorfront_eccentricity']",7
Fold 56,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells naive_stromal_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",6
