,Fold n°1,Fold n°2,Fold n°3,Fold n°4,Fold n°5,Fold n°6,Fold n°7,Fold n°8,Fold n°9,Fold n°10,Fold n°11,Fold n°12,Fold n°13,Fold n°14,Fold n°15,Fold n°16,Fold n°17,Fold n°18,Fold n°19,Fold n°20,Fold n°21,Fold n°22,Fold n°23,Fold n°24,Fold n°25,Fold n°26,Fold n°27,Fold n°28,Fold n°29,Fold n°30,Fold n°31,Fold n°32,Fold n°33,Fold n°34,Fold n°35,Fold n°36,Fold n°37,Fold n°38,Fold n°39,Fold n°40,Fold n°41,Fold n°42,Fold n°43,Fold n°44,Fold n°45,Fold n°46,Fold n°47,Fold n°48,Fold n°49,Fold n°50
Bcells_159Tb_MAPKAPK2_IFNa,0.0,-0.0,0.0,0.6385637082662732,0.5031543727835958,0.0,0.0,0.0,0.3250798124567519,0.25336334233169616,0.0,0.0,0.0,1.0165402893760294,0.12095486676470585,0.0,0.0,0.0,0.13886186908555959,2.331330587860791,0.0,-0.0,0.22932680357040305,0.2945210031378672,0.25702257247762617,0.0,0.0,0.0,0.8898824578264585,0.0,0.20327176824869075,-0.0,0.0,0.5224149565993458,0.2810081702217151,0.0,0.0,0.16064788499986507,0.0,0.0,0.0,0.5906729781087895,0.0,0.38946190916884665,0.3564995485432628,0.23426634780997274,-0.0,0.0,0.0,0.0
Bcells_159Tb_MAPKAPK2_IL246,0.20816232486874242,0.42299966400820327,0.0,0.007333315393014693,0.3047281576213308,1.6618384213773143,0.0,0.08934967718489567,0.0,0.0,0.0,0.5078520625073932,0.0,0.4397726692260934,4.3011529045304755,0.15885190497709964,0.5032761878081206,0.0,0.0,2.509730676637523,0.04109971863187187,0.0,0.12660877346017288,0.0,0.08285724257265652,1.0645917849781186,0.0,0.0,0.5780451886419852,0.0,1.0225326419585732,-0.0,0.0,0.0,0.822195625853636,0.22384924981395996,0.0,0.276735867221731,0.0,1.4537542479114687,1.4297183750376266,0.8021747120595961,0.0,0.0,0.6122958381263495,0.9797928721990449,0.0,0.0,0.0,0.0
Bcells_159Tb_MAPKAPK2_LPS,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.3170560971050836,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.061561821860926555,0.0,-0.0,0.0,0.0,-0.030916743116085575,0.0,0.0,0.0,0.0,-1.0491000116729183,0.0,0.7625281193372067,-0.6538554553800209,0.0,-0.0,0.0,0.0,0.0,0.0,-0.19000019066995502
Bcells_159Tb_MAPKAPK2_unstim,1.2403960261790137,6.395040939004784,2.450029877301283,0.8042472327077289,3.855341465920483,5.664093306537671,4.552709335332707,2.254170092466304,0.0,0.9167916491732142,1.4133247762730978,6.6389503248616695,1.6064470332970693,0.7485482581743368,17.009767099391013,1.5206769435917638,3.8318284328175767,2.0457593387058615,0.19619642471342313,14.990561922593892,2.5516297284644054,10.810335978204971,0.8035451581213564,0.0,0.0,2.5058238815073435,6.898730362673141,1.3507413183860066,1.7262692233604442,0.5465312631834158,1.8708371881691694,8.518315696179688,1.1860492398845248,0.03335600013660575,3.9241691625510438,1.2561926024822407,4.9818759162393444,1.8857049077082002,0.0,9.759850510707835,4.76097047397969,7.30686041161351,4.845203133165699,0.17428100254275206,2.9252194864585217,2.00331249906052,8.307026628836553,0.3006042002402134,0.0,1.9289485644610591
Bcells_166Er_NFkB_IFNa,0.21955690279435283,1.1820307960923997,0.7624277527917941,0.0,1.250002823330338,0.8995062990493286,1.029946028868018,0.28132646032046393,0.8858851174163233,0.0,0.15576987327705213,2.408983958231617,0.170309535903146,0.0,-0.0,0.3652524946879866,1.0762524395582833,0.4124831415335182,0.27794837896813746,-0.4996994970162688,0.0,2.7654153057618447,0.5736638780751199,0.0,0.41800376271454553,0.4076978326111176,1.3485320531479061,0.9838566038795311,0.5299979322792889,0.0,0.8105392812961233,1.1582471497285902,0.2918477680663622,0.48015826171957754,-0.0,0.5301248322854459,0.08910165892288113,0.7376245595399458,0.03518075819533006,0.0,0.0,3.3716134312741914,0.0,0.7094856040776724,0.5765594085350924,0.4408964869507099,1.453658191936957,0.07955043081121053,0.04910769186688033,0.3467090888673363
Bcells_166Er_NFkB_IL246,-0.0,0.0,-0.0,0.0,-1.8237480515941569,0.0,-0.08701598005224599,-0.0,0.0,-1.6574746659194313,0.0,-0.0,-0.0,-0.0,-6.530205319602022,0.0,-0.0,-0.0,0.0,-9.657946909402275,-0.0,-0.0,0.0,0.0,-0.1516544632662382,0.0,-0.68487025924482,0.0,0.0,-1.7536013424991004,0.0,-0.09751052437453116,-0.0,0.0,-2.7767708463053293,0.0,-0.0,0.0,-0.0,-3.794599623062853,-0.0,-0.0,-1.0032936795412661,0.0,-1.764610143786834,-0.0,-0.0,0.0,0.0,-0.7353781712241358
Bcells_166Er_NFkB_unstim,0.0,-2.853714148822373,1.4741965312288876,-1.3512442183758409,-0.4591267444913819,-0.4588565620880323,-0.0,1.1638202262339141,-0.0,-0.0,0.0,-1.970489471497292,1.292470058883023,-0.0,-9.80771148993135,-0.0,-0.0,0.9332460499942163,-0.0,-8.34594220385185,0.0,-1.993966243390247,0.3974184864689359,-0.0,-0.0,0.0,-0.0,0.5737053335888405,-0.7383511268553365,0.0,-0.0,-0.6844220481444747,1.1316883482267766,-0.0,-2.2917856789546978,0.0,-1.3315104370471504,0.8685898620427221,0.0,-3.036883829986961,-0.0,-2.8234713722519764,1.6170839328421547,-0.0,-0.9509547767413737,0.0,-1.9795105421922454,0.06220292611685481,-0.0,0.0
Bcells_167Er_ERK_IL246,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Bcells_168Er_STAT6_IFNa,14.0708406668561,27.545023622152925,22.413045123139995,29.950280958199794,35.62849180048533,25.683125567960147,21.74485160383156,23.13851408673284,22.315006575534365,29.72665745539438,13.975264727295027,27.076855790080863,19.76386730691739,27.603753900970002,51.61151013979242,14.250218584372872,20.756222328047176,26.595356224144293,23.276275361921826,52.299961746428146,17.08263310809558,25.245166292191513,21.490327064627277,25.263480674698254,22.602200512657472,17.979915130862377,22.292276888070614,26.03091586062942,28.317078585008357,28.492443477167082,18.061375841687013,24.43348909669393,20.42218423179775,25.641189641378233,32.702414258050695,13.910411330870193,28.973214493013558,22.65760741222097,19.59965455054415,37.853770690793496,23.876712621936882,28.14341365240476,30.499901570294824,24.632294395390797,32.97397936569826,18.898407864326842,30.65190120696416,15.565904374333172,20.920320174067108,25.021447708925482
Bcells_168Er_STAT6_IL246,0.8824178612639854,-10.914648012827982,-2.362272220830665,-4.617551969003946,-10.959277937765915,-4.976236899438634,-7.906466745533368,-1.9263727397410366,-0.0,-6.9077927229094875,1.2486154224405719,-12.660946647807176,-0.49252079438297164,-3.8247457109702996,-28.464427889593455,0.9657167477205563,-9.423875607101376,-1.8151169987816074,-0.0,-27.917516518572366,0.0,-13.91306647755373,-1.6103836029188736,-0.6550787345456737,-1.102598693297467,-0.0,-9.937551709148057,-4.130961835297412,-2.2359481450532406,-4.299426166371551,-0.0,-11.118449858120732,-0.059774509531949564,-0.6779660941459231,-12.250558880291745,0.7553085821301763,-11.590656831756444,-2.293911763238865,0.2785159144113395,-16.77126334343087,-3.017981406152258,-13.585225342059708,-7.55002109191532,-1.508409537741973,-9.485427346006343,-0.0,-14.014366617808683,-0.0,0.0,-2.8652226620884265
Bcells_168Er_STAT6_unstim,-0.0,-0.0,-0.0,0.0,-1.3645541476610903,-0.8548048750360766,-0.0,-0.0,0.0,-0.0,-0.0,-0.2791506402727615,-0.0,0.0,-2.40606917907777,-0.0,-0.0,-0.0,0.0,-2.665590198899885,-0.19564532117846536,-0.0,-0.0,0.0,-0.0,-0.5068324321827661,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-1.0604166675779259,-0.0,-0.0,-0.0,0.0,-1.8695777268038778,-0.7163718619722894,-0.2295015454170116,-0.0,0.0,-0.0,-0.39390973974317395,-0.0,-0.0,0.0,-0.0
CD4negCD8negTcells_149Sm_CREB_IFNa,-0.0,-0.42251892071143515,-0.0,0.0,0.0,-0.47747504976104443,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.43005176294727787,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.03932672328765827,-0.0,0.0,-0.0,-0.0,-0.6446927312711784,-0.0,0.0,0.0,-0.9261300615174758,0.0,-0.0,0.0,0.0,-0.0,-0.5323155837256587,-0.0,0.0,-0.0
CD4negCD8negTcells_149Sm_CREB_IL246,0.1145077365300788,1.693591295682498,0.7397688197812539,3.1437529412392737,0.0,1.2676768441965724,1.709528887808293,0.8369062314349716,1.610693974352874,0.0,0.0,4.224272117970175,0.0,2.3705247061452006,1.9937409083419309,0.289346316591307,1.5887627074245705,0.6127442273399472,1.6235486072698133,0.0,0.0,4.1476081452243045,0.6160931722690339,1.8665636825604146,0.0,0.6523913556020545,1.841164202308144,0.5684536306808305,2.546994780657083,0.22600023724816004,0.9495814539376439,1.603370583110323,0.3391881497139183,2.057125884041832,0.0,0.21640626396398938,0.044347592945064386,1.2762432572719309,0.9720622301566693,2.216003852046149,0.0,6.207356454836769,0.45210239461733126,1.717302970994348,0.014116745191437657,0.6218281745145742,1.7741341909954196,0.16750556971374514,1.4564958282281666,0.0
CD4negCD8negTcells_149Sm_CREB_unstim,-0.0,0.0,-0.0,-2.8054134687633776,-0.7903690635994222,-1.1118850926439257,0.0,-0.0,-1.0375712306023086,-0.0,-0.0,-1.0363493035322635,0.0,-2.1122162171999452,-2.381889075485664,-0.0,-0.0,0.0,-0.9858757675619589,-0.0,0.0,-2.978905067723619,-0.0,-1.5166783911283643,-0.0,-0.0,-0.0,-0.0,-2.1915729396697134,-0.2105180059244993,-0.5997410648886442,0.0,-0.0,-1.5673300864884183,-0.0,-0.0,1.4553470674560816,-0.44406907882084784,-0.4251175805564664,-2.2923369486416294,-0.0,-2.5890331155257553,-0.0,-1.5019614798699659,-0.2630543459061947,-0.0,0.4682941661573152,-0.0,-0.9486819126024776,-0.0
CD4negCD8negTcells_150Nd_STAT5_IFNa,-15.322141988420965,-30.990605632950732,-19.446687386147406,-20.75447210560828,-34.146993122485945,-28.757167717911155,-25.495854032084615,-20.486901045681847,-16.437134731028305,-21.86648292378121,-13.834949043800806,-29.824645732593652,-17.72403858791181,-21.25347253399442,-47.345382282193185,-13.724273075416221,-26.04509433529647,-22.098881325546767,-15.550115487010501,-46.826870810525435,-19.0959285653966,-38.6429461252794,-18.795309843301382,-16.368246645110773,-13.302018409105555,-18.254662369585294,-32.06369074446493,-23.399202681838716,-20.67325311981372,-18.84167920018723,-20.654986720108003,-32.07754864224364,-15.838417522943338,-15.429756846176128,-32.79220543999765,-15.269496203788822,-30.946681211350445,-18.275069098904755,-11.403239364907442,-38.70167410073423,-24.43301635747216,-38.60283716496916,-35.14576067317353,-17.50585116737896,-27.534903706403803,-21.47263324228632,-36.651364071381174,-11.58004953704901,-13.663123566321504,-18.727792531419663
CD4negCD8negTcells_150Nd_STAT5_IL246,-14.124253024322982,-27.024009789350472,-16.190284904320944,-21.742909643057303,-34.49799545383134,-23.419440569080766,-20.304651665012926,-18.081163862597492,-17.850005928091832,-22.534961752763536,-11.627784122402739,-26.096338962572148,-14.666216748224025,-22.679905873385966,-55.04835651269557,-12.805120913135498,-21.906311535543356,-18.496232587008766,-16.847755437253472,-53.24813251906067,-14.896112602688389,-27.51899117216549,-17.482372984907443,-18.298755133993136,-17.42207680202757,-17.383940676688926,-22.91161089783067,-19.6562254883357,-23.30762940836896,-20.59991106056791,-16.13699127083325,-26.06429047415301,-15.085491451981252,-16.7428102792451,-34.30045860935626,-12.284836412168882,-28.29587951069683,-17.342886251842778,-13.259733303774691,-37.60007625863605,-22.826357617365282,-29.570029985168553,-25.510810527000856,-18.165222116158876,-27.3015442140541,-18.423666626809176,-29.696044883712457,-11.720634697012628,-15.002687568813363,-19.051020429399507
CD4negCD8negTcells_150Nd_STAT5_unstim,-1.5396868349362915,-0.3453415078868091,-1.7538862530105404,-0.0,-3.9236832929520524,-2.0334006399397344,-1.3155260384770684,-1.7314127710016918,-0.21013043603840428,-3.6405919149547517,-1.1604937565535502,-3.2101481093118096,-0.8656704548800496,-0.2315971880958958,-1.7042924863359585,-1.085970566225271,-1.48044693925852,-2.2757468790847866,-0.0,-2.968646741619976,-2.077741790751943,-0.2204314341234683,-1.6039422553828966,-0.0,-2.201544315183326,-2.150031990899928,-0.6761308393420893,-2.0311145119074574,-0.3255186213326607,-2.9229625441390046,-1.4308586622116264,-1.0540719843648434,-1.2267759416320545,-0.27461102596271325,-3.9372139266020354,-1.3259182782287293,-1.3763252610498795,-1.404682146065968,-0.0,-2.804251337848283,-2.0584670349947203,-1.7533436027256846,-2.0787013327899926,-0.19874685339345413,-4.387694339288672,-1.9347069996716986,-1.5952713119636306,-0.4313109259066301,-0.0,-2.8001862225271434
