,Mann-Whitney U-test,p-value
Myeloid M1 macrophages_tumorfront_pERK,2280.0,0.34309092261919727
CD4 T cells regulatory_stromal_pSTAT3,2744.0,0.3445024513704905
Myeloid Monocytes_stromal_pSTAT1,2744.0,0.3451655850142794
Myeloid Monocytes_stromal_pS6,2283.0,0.34936637018561056
CD4 T cells memory_stromal_pp38,2741.5,0.35041654693038116
Myeloid Granulocytes_tumorfront_pp38,2741.0,0.3508046167630463
CD8 T cells_stromal_pMAPKAPK2,2738.0,0.35784024120238345
CD4 T cells regulatory_stromal_pCREB,2735.0,0.36395404814663646
CD8 T cells_tumorfront_pSTAT3,2731.0,0.37296044064022493
Myeloid M2 macrophages_tumorfront_CD36,2731.0,0.37297446622665664
Tumor non-proliferating_stromal_pMAPKAPK2,2296.0,0.37593661138686596
CD4 T cells memory_stromal_Ki67,2729.0,0.37739366207907277
Tumor non-proliferating_intratumor_pSTAT1,2728.0,0.3796161853083463
Tumor non-proliferating_stromal_pNFkB,2299.0,0.3826027526444724
Myeloid M1 macrophages_stromal_E-Cadherin,2726.0,0.3840651034320226
Myeloid Granulocytes_tumorfront_VEGF,2725.0,0.38573338863826034
Tumor proliferating_intratumor_pSTAT3,2723.0,0.3905198179259425
Vessel_stromal_CD36,2302.0,0.3907980124017518
Myeloid M1 macrophages_tumorfront_Ki67,2722.0,0.3930561696407866
CD4 T cells memory_stromal_VEGF,2719.5,0.39873811196738074
CD4 T cells memory_tumorfront_GranzymeB,2716.5,0.4056126716050664
Myeloid Monocytes_stromal_GranzymeB,2313.0,0.41609041367326216
Myeloid Monocytes_tumorfront_GranzymeB,2711.5,0.4172475354659444
Myeloid DCs_tumorfront_VEGF,2710.0,0.41952341002041305
CD4 T cells naive_tumorfront_GranzymeB,2710.0,0.42014458764347207
Tumor non-proliferating_intratumor_pp38,2710.0,0.4207930274313477
CD8 T cells_stromal_pSTAT1,2707.0,0.4278924833220905
CD4 T cells memory_stromal_pSTAT1,2706.0,0.430277663457058
CD4 T cells regulatory_stromal_pp38,2705.0,0.4322124052252799
Fibroblasts_tumorfront_pS6,2320.0,0.4326801873496263
Vessel_tumorfront_CD44,2705.0,0.4326801873496263
Myeloid Monocytes_tumorfront_pNFkB,2702.5,0.43867913691636196
CD8 T cells_tumorfront_pMAPKAPK2,2702.0,0.439864561167178
Myeloid M1 macrophages_stromal_pp38,2702.0,0.4399048165944357
Fibroblasts_stromal_Ki67,2324.0,0.4423283219977079
CD4 T cells memory_tumorfront_pSTAT3,2698.0,0.4496178965278085
Myeloid M2 macrophages_tumorfront_pp38,2697.5,0.4508306404058099
Myeloid DCs_tumorfront_pS6,2697.0,0.45086233485488636
Myeloid Monocytes_stromal_VEGF,2697.0,0.45209648568158556
Tumor non-proliferating_tumorfront_VEGF,2696.0,0.4545598189683172
CD8 T cells_stromal_E-Cadherin,2695.0,0.45701935950290795
Myeloid M1 macrophages_tumorfront_CD36,2695.0,0.45702831916409936
CD4 T cells memory_tumorfront_pNFkB,2694.5,0.45824961145198595
Myeloid DCs_stromal_pMAPKAPK2,2693.0,0.46177565333042325
