,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
Bcells_155Gd_S6_IFNa,-0.0047546738189498,0.9539511071730936,0.0,0.0,278,0.0,0.0,749,0.0,0.0,194,374.75
CD4Tnaive_149Sm_CREB_IL246,0.1547738102294079,0.0586058024684965,0.0,0.0,436,0.0,0.0,146,0.0,0.0,482,375.0
Tregs_159Tb_MAPKAPK2_unstim,0.1341154224269362,0.1017911085527346,0.0,0.0,442,0.0,0.0,152,0.0,0.0,466,375.5
Granulocytes_155Gd_S6_GMCSF,0.0262929550339609,0.7494361095240462,0.0,0.0,382,0.0,0.0,630,0.0958904550642176,0.012011754814526036,108,375.5
CD8Tcm_166Er_NFkB_IFNa,0.0161701584553216,0.8442976419227717,0.0,0.0,247,0.0,0.0,675,0.0,0.0,334,375.75
CD8Teff_149Sm_CREB_IFNa,0.1337169567967272,0.1028215251978837,0.0,0.0,443,0.0,0.0,153,0.0,0.0,467,376.5
MDSCs_159Tb_MAPKAPK2_unstim,-0.0154704843899119,0.8509549096477591,0.0,0.0,230,0.0,0.0,703,0.0,0.0,344,376.75
intMCs_151Eu_p38_IFNa,0.1336642602361519,0.1029584090819979,0.0,0.0,444,0.0,0.0,154,0.0,0.0,468,377.5
cMCs_156Gd_IkB_unstim,0.0155211472571478,0.850472502749062,0.0,0.0,231,0.0,0.0,704,0.0,0.0,345,377.75
Bcells_149Sm_CREB_IFNa,-0.1326616593017301,0.1055901757893902,0.0,0.0,445,0.0,0.0,177,0.0,0.0,446,378.25
NKT_167Er_ERK_IL246,0.0003840723802891,0.9962782359434394,0.0,0.0,273,0.0,0.0,745,0.0,0.0,223,378.5
Granulocytes_149Sm_CREB_GMCSF,0.1524038323470497,0.0626263632755217,0.0,0.0,399,0.0,0.0,647,0.04119015816936669,0.049561761541722864,70,378.75
NKT_149Sm_CREB_IFNa,-0.1322604027487563,0.106658135835153,0.0,0.0,446,0.0,0.0,178,0.0,0.0,447,379.25
intMCs_156Gd_IkB_unstim,0.0171445643090181,0.8350447630286016,0.0,0.0,243,0.0,0.0,695,0.0,0.0,337,379.5
CD8Tcm_155Gd_S6_unstim,0.1320088777085475,0.1073318883808763,0.0,0.0,447,0.0,0.0,179,0.0,0.0,448,380.25
Granulocytes_166Er_NFkB_unstim,-0.0160990339404532,0.8449738842179627,0.0,0.0,248,0.0,0.0,676,0.0,0.0,352,381.0
pDCs_149Sm_CREB_GMCSF,0.1537965728166476,0.0602371602511617,0.0,0.0,396,0.0,0.0,644,-0.023539034126555333,0.028720811413286657,88,381.0
ncMCs_167Er_ERK_IL246,0.0169124304926399,0.837247087004274,0.0,0.0,245,0.0,0.0,693,0.0,0.0,343,381.5
NKT_159Tb_MAPKAPK2_IL246,-0.018764425135145,0.8197131905853936,0.0,0.0,235,0.0,0.0,708,0.0,0.0,349,381.75
Granulocytes_166Er_NFkB_IFNa,0.0158714354928744,0.8471386171543923,0.0,0.0,249,0.0,0.0,677,0.0,0.0,354,382.25
NKT_154Sm_STAT3_unstim,0.0177938955025163,0.8288912098069958,0.0,0.0,241,0.0,0.0,714,0.0,0.0,336,383.0
CD56hiCD16negNK_167Er_ERK_unstim,-0.0170302467550255,0.8361291694708347,0.0,0.0,244,0.0,0.0,694,0.0,0.0,350,383.0
NKT_168Er_STAT6_IFNa,0.0156865117542167,0.8488983044728732,0.0,0.0,250,0.0,0.0,678,0.0,0.0,355,383.25
MDSCs_151Eu_p38_unstim,-0.0185243950781628,0.821980862945084,0.0,0.0,238,0.0,0.0,711,0.0,0.0,347,383.5
Granulocytes_155Gd_S6_IFNa,-0.0179767211329779,0.8271604721511812,0.0,0.0,240,0.0,0.0,713,0.0,0.0,342,383.75
ncMCs_149Sm_CREB_GMCSF,0.1549394213021067,0.0583329708742731,0.0,0.0,435,0.0,0.0,145,0.0,0.0,521,384.0
pDCs_153Eu_STAT1_unstim,-0.0184954708125489,0.8222542233570389,0.0,0.0,239,0.0,0.0,712,0.0,0.0,346,384.0
Granulocytes_167Er_ERK_IFNa,-0.0156626328125538,0.8491255849501887,0.0,0.0,251,0.0,0.0,679,0.0,0.0,356,384.25
CD56hiCD16negNK_159Tb_MAPKAPK2_IFNa,-0.0177243866630017,0.8295494386275528,0.0,0.0,242,0.0,0.0,706,0.0,0.0,348,384.5
CD4Tcm_167Er_ERK_IL246,0.1464613791297982,0.0737067561436728,0.0,0.0,437,0.0,0.0,147,0.0,0.0,520,385.25
CD4Tcm_149Sm_CREB_IFNa,0.0106125886732101,0.8974419649220551,0.0,0.0,252,0.0,0.0,680,0.0,0.0,357,385.25
CD56hiCD16negNK_149Sm_CREB_LPS,-0.0105814178566034,0.8977415533994011,0.0,0.0,253,0.0,0.0,681,0.0,0.0,358,386.25
CD4Teff_150Nd_STAT5_IL246,0.0211773243020541,0.7970033034359509,0.0,0.0,361,0.0,0.0,655,-0.00305454549793157,0.0003009945423223216,170,386.75
mDCs_154Sm_STAT3_IFNa,0.1538120977414432,0.0602109553163632,0.0,0.0,395,0.0,0.0,643,-0.007547191388094768,0.00921002242239784,115,387.0
ncMCs_156Gd_IkB_unstim,-0.0102156370996311,0.9012582067537857,0.0,0.0,254,0.0,0.0,682,0.0,0.0,359,387.25
CD4Tcm_150Nd_STAT5_IL246,0.0271428929866378,0.7416183323893197,0.0,0.0,377,0.0,0.0,650,-0.014223315286238778,0.001846464293459656,145,387.25
CD4Tcm_167Er_ERK_unstim,0.0042852520208186,0.958493161038386,0.0,0.0,255,0.0,0.0,683,0.0,0.0,360,388.25
CD8Tnaive_155Gd_S6_IFNa,-0.0035615600820331,0.965498056433472,0.0,0.0,257,0.0,0.0,685,0.0,0.0,362,390.25
Tregs_166Er_NFkB_unstim,-0.0246677598692188,0.7644552948073517,0.0,0.0,390,0.0,0.0,638,-0.01462726683880875,0.0017062400613430141,146,391.0
intMCs_167Er_ERK_IL246,0.1575364887799957,0.0541894053135481,0.0,0.0,432,0.0,0.0,142,0.0,0.0,562,392.0
CD4Tem_168Er_STAT6_IFNa,0.1603946715925099,0.0499133597403028,0.0,0.0,427,0.0,0.0,137,0.0,0.0,577,392.0
CD8Tnaive_154Sm_STAT3_IFNa,0.0865123036601294,0.2924939289388282,0.0,0.0,583,0.0,0.0,338,0.10036336407268197,0.05358230833240577,65,392.25
Bcells_155Gd_S6_unstim,0.1392973623696827,0.0891188500498037,0.0,0.0,472,0.0,0.0,182,0.0,0.0,443,392.25
NKT_167Er_ERK_IFNa,0.0022742063629158,0.9779650263656046,0.0,0.0,264,0.0,0.0,692,0.0,0.0,351,392.75
MDSCs_150Nd_STAT5_IL246,-0.0030103718519725,0.9708350186764014,0.0,0.0,260,0.0,0.0,688,0.0,0.0,364,393.0
mDCs_155Gd_S6_LPS,0.1601901886122634,0.0502096847366604,0.0,0.0,428,0.0,0.0,138,0.0,0.0,578,393.0
intMCs_166Er_NFkB_IFNa,0.1397312219103797,0.0881176557107433,0.0,0.0,471,0.0,0.0,181,0.0,0.0,450,393.25
cMCs_166Er_NFkB_IL246,0.2182242365191016,0.0073020726066274,0.0,0.0,493,0.0,0.0,45,0.0,0.0,544,393.75
CD8Tem_149Sm_CREB_IFNa,-0.0028280219457355,0.9726009451068076,0.0,0.0,261,0.0,0.0,689,0.0,0.0,365,394.0
cMCs_151Eu_p38_IL246,0.1596751212286896,0.0509625642553179,0.0,0.0,429,0.0,0.0,139,0.0,0.0,579,394.0
CD4negCD8negTcells_159Tb_MAPKAPK2_IFNa,-0.009410670738936,0.9090038989116624,0.0,0.0,280,0.0,0.0,752,0.0,0.0,265,394.25
cMCs_154Sm_STAT3_unstim,0.0249895982989982,0.761473862857444,0.0,0.0,388,0.0,0.0,636,0.0029749763081745977,0.00035207356814101427,165,394.25
CD8Teff_167Er_ERK_unstim,0.0022902093787611,0.9778100112578344,0.0,0.0,263,0.0,0.0,691,0.0,0.0,361,394.5
ncMCs_149Sm_CREB_IFNa,-0.0092603904037763,0.9104509246883364,0.0,0.0,281,0.0,0.0,753,0.0,0.0,264,394.75
CD8Teff_155Gd_S6_IL246,0.1389826363913902,0.0898507866324981,0.0,0.0,473,0.0,0.0,183,0.0,0.0,451,395.0
CD4Tnaive_167Er_ERK_unstim,-0.0026422757273595,0.9743998990010124,0.0,0.0,262,0.0,0.0,690,0.0,0.0,366,395.0
CD4Tcm_166Er_NFkB_unstim,-0.0252936556000604,0.758660366405034,0.0,0.0,387,0.0,0.0,635,-0.0016779067557027,0.00020126928387924735,173,395.5
