UOP;Mann-Whitney U-test;p-value;;;STANFORD;Mann-Whitney U-test;p-value
Vessel_stromal_pSTAT3;432.0;0.02689608358828009;;;CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells;901.5;0.001518648027098261
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes;433.0;0.027545236718170864;;;CD4 T cells naive_stromal_VEGF;905.0;0.0015416420308567709
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;433.0;0.027627352658359416;;;Tumor proliferating_tumorfront_VEGF;905.5;0.0015624515330812086
Fibroblasts_stromal_pERK;433.0;0.027703022551932625;;;B cells_tumorfront_aggregatedNeighbors.CD8.T.cells;877.5;0.0015687032768048718
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;446.5;0.0292473581263541;;;B cells_stromal_pp38;901.0;0.0017544149873524658
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel;435.0;0.02929550523591671;;;Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory;899.5;0.0018782157770054085
B cells_stromal_aggregatedNeighbors.Vessel;435.5;0.02964500951746956;;;Tumor proliferating_intratumor_pCREB;900.0;0.0019178502296061301
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;460.0;0.03040476523358153;;;CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;897.0;0.001969711461935537
Myeloid Monocytes_tumorfront_cellfrequency;436.5;0.030692432596372807;;;B cells_tumorfront_aggregatedNeighbors.Tumor.proliferating;822.0;0.002028284134575659
Myeloid DCs_stromal_CD44;810.5;0.030950407841922843;;;Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory;898.0;0.002090544321118255
Fibroblasts_tumorfront_pCREB;437.0;0.031142949761017624;;;CD4 T cells regulatory_tumorfront_area;897.5;0.002110892363139739
CD4 T cells naive_tumorfront_area;810.5;0.03159626839128384;;;Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells;895.5;0.002120029736827013
CD4 T cells regulatory_stromal_CD44;810.0;0.0317415767122238;;;B cells_stromal_VEGF;896.0;0.0021327297437820176
Vessel_tumorfront_pS6;438.0;0.03205812419612794;;;Myeloid Monocytes_stromal_pSTAT3;897.0;0.0021762132034721135
Vessel_stromal_pCREB;438.0;0.03205812419612794;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells;820.5;0.0022005798665873564
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes;440.0;0.03225873317376205;;;Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;895.5;0.0022982635352811137
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells;806.5;0.032322407593583916;;;Tumor proliferating_intratumor_pNFkB;895.0;0.002325998358827569
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;438.5;0.032439934730684176;;;CD8 T cells_tumorfront_cellfrequency;895.0;0.0023428525449884674
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel;442.5;0.03405940479218423;;;Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells;894.0;0.0023482322728183153
Myeloid M1 macrophages_stromal_pERK;441.0;0.03494316856055477;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;890.0;0.0023931872251829814
Fibroblasts_tumorfront_pERK;443.0;0.036987332317646546;;;B cells_stromal_pSTAT3;893.0;0.002394242478083857
Myeloid Monocytes_stromal_pS6;443.0;0.036987332317646546;;;Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;880.0;0.0024838160988614358
Vessel_stromal_pS6;443.0;0.036987332317646546;;;CD4 T cells naive_stromal_aggregatedNeighbors.B.cells;885.0;0.0025170893763293016
CD8 T cells_stromal_pCREB;444.0;0.03804703925013529;;;CD4 T cells memory_tumorfront_VEGF;893.0;0.0025355852435052025
Myeloid Granulocytes_stromal_pNFkB;449.0;0.043592515541380876;;;Tumor non-proliferating_tumorfront_pCREB;893.0;0.0025357970908797887
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;454.0;0.0451847667660136;;;Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells;890.0;0.0026204128693581826
Vessel_stromal_VEGF;451.0;0.04621177440733643;;;Myeloid Monocytes_stromal_CD44;892.0;0.002633533140465397
Vessel_tumorfront_pERK;451.0;0.04621177440733643;;;B cells_stromal_pNFkB;890.0;0.0026848112992766174
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;453.0;0.04629027876351442;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;882.0;0.002732208150033755
Tumor non-proliferating_stromal_VEGF;452.0;0.046814626772093505;;;Myeloid Monocytes_stromal_VEGF;891.0;0.0027349283472233796
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes;455.5;0.04711970119787214;;;Tumor non-proliferating_intratumor_cellfrequency;370.0;0.002840110589867792
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;452.5;0.047813182453322015;;;CD4 T cells regulatory_tumorfront_CD44;889.0;0.0029200824632146264
Myeloid Granulocytes_intratumor_cellfrequency;541.0;0.04812480456775883;;;CD4 T cells regulatory_tumorfront_pCREB;889.0;0.0029200824632146264
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes;474.5;0.048556187349145505;;;Tumor proliferating_intratumor_E-Cadherin;888.0;0.0030316019672551584
Myeloid M2 macrophages_tumorfront_celldistance;454.0;0.05003024142665351;;;CD8 T cells_tumorfront_pSTAT3;888.0;0.003052502163763641
CD4 T cells memory_stromal_pCREB;454.5;0.05081683264823806;;;CD4 T cells regulatory_stromal_cellfrequency;888.0;0.0030561993858491967
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;455.0;0.05150730870779126;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells;885.5;0.003181162048168423
Tumor non-proliferating_intratumor_eccentricity;455.0;0.05150730870779126;;;B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;807.5;0.0033857154468281145
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells;466.5;0.05170560580930355;;;Myeloid M2 macrophages_stromal_pSTAT3;885.0;0.003422179805564416
Myeloid Granulocytes_tumorfront_CD44;792.0;0.05179607702079641;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;375.0;0.003422179805564416
Vessel_stromal_GranzymeB;456.0;0.0529078172873177;;;B cells_tumorfront_pNFkB;874.5;0.0035183377504298436
Myeloid M2 macrophages_stromal_pS6;457.5;0.05506610646290396;;;Tumor non-proliferating_intratumor_VEGF;884.0;0.0035508839447738385
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes;458.0;0.05580234355029851;;;B cells_stromal_pCREB;882.0;0.0036240472199446823
CD4 T cells naive_stromal_eccentricity;790.0;0.05580439795722975;;;CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells;882.0;0.0036881539146122744
CD8 T cells_stromal_pNFkB;458.0;0.05580439795722975;;;B cells_stromal_pMAPKAPK2;881.0;0.0037604200136048607
Myeloid Granulocytes_stromal_pSTAT3;459.0;0.05712620368216505;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;876.0;0.003785989683390729
Myeloid M1 macrophages_tumorfront_pS6;459.0;0.05730151521391568;;;Myeloid DCs_stromal_pSTAT3;882.0;0.003821590067681283
CD4 T cells naive_stromal_CD44;788.0;0.05883188541644427;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells;866.5;0.004009734466341722
B cells_stromal_pCREB;461.0;0.06032064841031435;;;CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes;879.0;0.0040848392692007405
Tumor non-proliferating_tumorfront_cellfrequency;461.0;0.06039603825697721;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;870.5;0.0040880613763899076
Tumor non-proliferating_tumorfront_celldistance;461.0;0.06039603825697721;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;380.5;0.004185656724030632
Vessel_tumorfront_pCREB;461.0;0.06039603825697721;;;Tumor proliferating_intratumor_pp38;879.0;0.004224387512269188
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel;461.0;0.06039603825697721;;;Fibroblasts_stromal_CD44;879.0;0.004262914731125052
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells;786.0;0.06150467944761603;;;CD8 T cells_intratumor_pSTAT3;874.0;0.004288388865194011
Myeloid M1 macrophages_tumorfront_pERK;462.0;0.06199450599851059;;;CD4 T cells regulatory_tumorfront_pSTAT3;877.5;0.00444521950305013
Tumor non-proliferating_stromal_pERK;462.5;0.062176623029669;;;CD4 T cells regulatory_stromal_VEGF;877.0;0.004575475783720151
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;470.0;0.06267121838818698;;;CD4 T cells memory_tumorfront_CD44;877.0;0.00458195025621576
Vessel_stromal_aggregatedNeighbors.Vessel;463.0;0.06362782331588263;;;CD4 T cells regulatory_tumorfront_pSTAT1;876.0;0.004692295899423797
Fibroblasts_tumorfront_CD44;785.0;0.06362782331588263;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells;872.5;0.00471805298766619
Tumor non-proliferating_tumorfront_pERK;464.0;0.06529652713199245;;;Tumor non-proliferating_intratumor_pCREB;875.0;0.004923187762084489
Tumor non-proliferating_stromal_pS6;465.0;0.06649769273958961;;;Tumor proliferating_tumorfront_pCREB;874.5;0.005011554572447951
Tumor proliferating_intratumor_cellfrequency;465.0;0.06692103756822436;;;B cells_stromal_CD36;873.0;0.005030845422042383
Myeloid Granulocytes_stromal_pERK;465.0;0.06692103756822436;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells;873.5;0.0050867095082325715
Myeloid Granulocytes_tumorfront_pMAPKAPK2;782.0;0.06716388116932026;;;CD4 T cells regulatory_tumorfront_pMAPKAPK2;873.0;0.00524116840117728
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;467.5;0.0677685065126025;;;Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating;873.0;0.0052735120467071435
Myeloid M1 macrophages_stromal_pS6;466.0;0.0687422521761526;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;867.5;0.005315534227731054
CD4 T cells naive_stromal_pERK;466.0;0.0687422521761526;;;B cells_stromal_E-Cadherin;871.0;0.005403875753960727
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;491.0;0.06917465077495379;;;CD8 T cells_stromal_cellfrequency;871.5;0.00557137667369865
CD4 T cells naive_tumorfront_celldistance;466.5;0.06962430409123069;;;CD8 T cells_tumorfront_VEGF;871.0;0.005660517276618062
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel;467.0;0.07040720509996537;;;Tumor non-proliferating_tumorfront_VEGF;871.0;0.005674631022354611
B cells_stromal_VEGF;467.0;0.07043784916728356;;;Myeloid DCs_tumorfront_VEGF;871.0;0.005674631022354611
Myeloid M1 macrophages_stromal_pCREB;467.0;0.07052035694934874;;;Tumor proliferating_intratumor_Ki67;870.0;0.00582831678878995
Myeloid Granulocytes_tumorfront_celldistance;468.0;0.07099741354529061;;;CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells;869.5;0.005829667855167947
Fibroblasts_stromal_CD44;780.0;0.07233601495062854;;;CD4 T cells naive_tumorfront_VEGF;867.5;0.005992785669046451
Tumor proliferating_intratumor_CD36;779.0;0.07410486306588773;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;868.0;0.006106838733638584
Myeloid DCs_stromal_aggregatedNeighbors.Vessel;471.5;0.07508855358719393;;;CD4 T cells naive_tumorfront_pSTAT3;866.5;0.006208146382642882
CD4 T cells regulatory_stromal_pERK;470.0;0.0751867940437746;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;864.0;0.00650839935532526
Myeloid M2 macrophages_tumorfront_pS6;470.0;0.07594439573490828;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells;866.5;0.006567380716113538
Tumor non-proliferating_stromal_area;777.5;0.07649555012876773;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;852.0;0.00661424750341016
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells;772.0;0.07743434596723617;;;B cells_tumorfront_VEGF;857.5;0.0066262169349653515
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes;472.0;0.07925925666179076;;;Tumor proliferating_tumorfront_E-Cadherin;866.5;0.006641987576092566
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes;477.0;0.07946491076001626;;;CD8 T cells_stromal_pSTAT3;865.5;0.0068720179952762
Tumor proliferating_tumorfront_pSTAT3;472.0;0.0798434673491287;;;Myeloid DCs_tumorfront_pSTAT3;865.0;0.006996596182255602
Myeloid M1 macrophages_stromal_CD44;775.0;0.08199673387975082;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;863.0;0.0070178655752071994
Myeloid Monocytes_stromal_VEGF;473.0;0.08199673387975082;;;Tumor proliferating_tumorfront_celldistance;864.5;0.007117880175102311
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.DCs;482.5;0.08243098199561531;;;CD4 T cells regulatory_stromal_pSTAT3;864.0;0.007224959646500199
B cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;499.0;0.08349366381927689;;;Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes;860.0;0.0072368949043586485
Vessel_stromal_Ki67;474.0;0.08404920137725867;;;B cells_tumorfront_CD36;854.0;0.0072627925973701105
CD8 T cells_stromal_pp38;474.0;0.08404920137725867;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;861.5;0.007466792811434132
Myeloid Granulocytes_stromal_CD44;773.0;0.08599562069188756;;;CD4 T cells naive_tumorfront_CD36;860.5;0.0076530280841234
Fibroblasts_tumorfront_pS6;475.0;0.08614305829870078;;;CD8 T cells_tumorfront_GranzymeB;861.0;0.008006867584065653
Fibroblasts_stromal_pCREB;475.0;0.08614305829870078;;;Vessel_stromal_CD44;861.0;0.008025340013656321
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes;480.5;0.08807889914339831;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.B.cells;857.5;0.008039744548501994
Myeloid Monocytes_stromal_pERK;476.0;0.08827885404537773;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating;859.5;0.008073406378557715
CD4 T cells naive_stromal_VEGF;476.0;0.08827885404537773;;;CD4 T cells naive_tumorfront_E-Cadherin;858.5;0.008197750827051188
Vessel_tumorfront_aggregatedNeighbors.Vessel;477.0;0.09045713770989285;;;Tumor non-proliferating_stromal_pERK;402.0;0.008339242293136572
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;478.5;0.09065857705777997;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating;416.0;0.008460753665225647
