UOP;Mann-Whitney U-test;p-value;;;STANFORD;Mann-Whitney U-test;p-value
Vessel_stromal_E-Cadherin;523.0;0.24547783173687754;;;Myeloid DCs_stromal_aggregatedNeighbors.Vessel;454.0;0.04349949863023652
CD8 T cells_stromal_pMAPKAPK2;524.0;0.2502067772474761;;;Tumor proliferating_tumorfront_Ki67;805.5;0.04414534794967317
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;719.0;0.25190700485125006;;;Myeloid Granulocytes_tumorfront_cellfrequency;805.0;0.04473806408191984
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;524.5;0.2524397960628024;;;Myeloid Monocytes_stromal_cellfrequency;805.0;0.04475418912463597
CD4 T cells memory_tumorfront_CD44;723.5;0.2525551814464764;;;CD4 T cells naive_tumorfront_pMAPKAPK2;803.5;0.04485065540913394
Myeloid M2 macrophages_stromal_VEGF;524.5;0.2525909810578346;;;CD8 T cells_tumorfront_pERK;804.0;0.04593116357042469
Myeloid DCs_stromal_eccentricity;723.0;0.25354520011436754;;;CD4 T cells memory_stromal_GranzymeB;804.0;0.04599313523736664
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells;723.0;0.25499499573645923;;;Myeloid M1 macrophages_stromal_pCREB;804.0;0.04599495819627521
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.DCs;529.0;0.2579500528776246;;;Tumor proliferating_tumorfront_pS6;803.5;0.04662336328263876
Myeloid DCs_stromal_pCREB;526.0;0.2583965998763347;;;B cells_tumorfront_E-Cadherin;796.5;0.047092403952828564
Myeloid Granulocytes_stromal_eccentricity;526.0;0.25971477429805656;;;CD8 T cells_tumorfront_pS6;803.0;0.04719780264919772
Myeloid Monocytes_stromal_cellfrequency;526.0;0.259854635493349;;;Myeloid Monocytes_tumorfront_pCREB;803.0;0.047244154785377315
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells;721.0;0.2614815643010202;;;Tumor non-proliferating_tumorfront_pNFkB;803.0;0.04726269818947012
Myeloid M1 macrophages_stromal_CD36;721.0;0.2647739290937816;;;Myeloid DCs_tumorfront_pCREB;803.0;0.04726269818947012
Myeloid DCs_stromal_pp38;528.0;0.2674990530476822;;;CD4 T cells naive_stromal_pERK;802.0;0.047874102629316406
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;539.0;0.2682284698204759;;;Fibroblasts_tumorfront_aggregatedNeighbors.B.cells;779.0;0.04791670677066055
Tumor non-proliferating_stromal_GranzymeB;528.0;0.26860621207399016;;;B cells_stromal_pERK;801.0;0.04832600798545055
Tumor proliferating_tumorfront_pSTAT1;720.0;0.26953208109407845;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;458.0;0.04844090135501108
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells;720.0;0.269748997990074;;;Tumor non-proliferating_tumorfront_pp38;802.0;0.04855969700372041
Tumor non-proliferating_intratumor_pMAPKAPK2;528.0;0.2697570285886076;;;Myeloid M2 macrophages_tumorfront_Ki67;802.0;0.04855969700372041
Myeloid Monocytes_tumorfront_VEGF;528.5;0.2722323540752176;;;B cells_stromal_aggregatedNeighbors.Fibroblasts;799.0;0.04910203835774992
CD4 T cells memory_stromal_VEGF;528.5;0.2722685343869954;;;CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;795.5;0.04932319870697213
CD4 T cells memory_stromal_pNFkB;528.5;0.2722685343869954;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;794.0;0.04949378590760389
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts;719.0;0.2735982031276708;;;Myeloid M1 macrophages_stromal_pNFkB;801.0;0.04988645441166885
CD4 T cells naive_tumorfront_Ki67;529.0;0.2747879913346336;;;Myeloid Granulocytes_stromal_pp38;800.0;0.051204474289934576
Vessel_stromal_eccentricity;719.0;0.274804087517604;;;Myeloid M1 macrophages_stromal_CD44;800.0;0.051243473690493875
CD8 T cells_stromal_aggregatedNeighbors.B.cells;529.5;0.2755125677119289;;;Fibroblasts_tumorfront_VEGF;800.0;0.051243473690493875
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating;530.0;0.2771471186267003;;;CD4 T cells naive_tumorfront_pERK;798.0;0.051761400339539465
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells;718.0;0.27715119284705925;;;CD4 T cells regulatory_stromal_E-Cadherin;799.0;0.052591615607754716
CD4 T cells naive_tumorfront_pNFkB;529.5;0.27734761766250815;;;Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes;492.0;0.053603382940746305
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;711.5;0.2777079209688489;;;Tumor non-proliferating_tumorfront_pS6;798.0;0.05405032775676616
Myeloid DCs_stromal_pNFkB;530.0;0.2784436143390615;;;Myeloid M1 macrophages_tumorfront_celldistance;462.0;0.05405032775676616
CD8 T cells_intratumor_VEGF;718.0;0.27902678278316995;;;CD4 T cells naive_tumorfront_area;796.5;0.054237880474315686
CD4 T cells regulatory_stromal_VEGF;530.0;0.27902678278316995;;;CD4 T cells naive_tumorfront_Ki67;796.0;0.05461990243931782
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells;530.5;0.2797365122397979;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;797.5;0.054698632472727014
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel;530.5;0.2824747217958572;;;CD8 T cells_intratumor_GranzymeB;794.0;0.055140006695637386
Tumor non-proliferating_tumorfront_CD44;717.0;0.28509062148336317;;;CD4 T cells naive_stromal_pp38;796.0;0.05622776654944575
Fibroblasts_stromal_GranzymeB;531.0;0.28509062148336317;;;Myeloid Granulocytes_stromal_VEGF;796.0;0.05694274229764088
Myeloid M1 macrophages_tumorfront_pSTAT3;531.5;0.2876983855659674;;;CD4 T cells naive_stromal_pCREB;795.0;0.05773168493882817
Tumor proliferating_stromal_cellfrequency;568.0;0.28898288097046476;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;771.0;0.05824274672021729
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;532.0;0.2896621822362274;;;CD4 T cells regulatory_tumorfront_pS6;795.0;0.05824678574493076
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;716.0;0.28984457604173985;;;Myeloid Granulocytes_tumorfront_VEGF;795.0;0.05847920703436474
CD8 T cells_stromal_E-Cadherin;532.0;0.290330326500696;;;CD8 T cells_stromal_pp38;794.5;0.05924950973765624
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes;555.5;0.2937111368720101;;;CD4 T cells memory_tumorfront_celldistance;466.0;0.06004753527812184
Myeloid M1 macrophages_stromal_GranzymeB;533.0;0.2956344504288059;;;CD4 T cells memory_stromal_pNFkB;794.0;0.06004753527812184
Myeloid Granulocytes_stromal_area;714.0;0.3008611914371343;;;Myeloid M2 macrophages_stromal_VEGF;794.0;0.060049682085530416
Myeloid Monocytes_stromal_pNFkB;534.0;0.3010030682553444;;;Myeloid M1 macrophages_stromal_VEGF;794.0;0.060049682085530416
Myeloid M2 macrophages_tumorfront_pp38;713.5;0.3033708187211712;;;CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts;792.0;0.06072599896523007
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;549.5;0.3035665024825668;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel;467.0;0.06144543136098813
Tumor non-proliferating_stromal_Ki67;535.0;0.303663321390245;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel;468.5;0.06303607440708735
Tumor proliferating_intratumor_pSTAT1;713.0;0.3062942690422493;;;Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;773.0;0.0631324423459535
CD8 T cells_stromal_aggregatedNeighbors.Fibroblasts;713.0;0.30641190670179985;;;Tumor proliferating_tumorfront_pSTAT1;791.5;0.0640701436908962
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;541.0;0.30663052464512;;;Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes;787.5;0.06483202326261786
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells;705.0;0.3084620549932924;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;790.5;0.06491437196569304
Tumor non-proliferating_stromal_pp38;536.0;0.3091598213011657;;;CD4 T cells memory_stromal_aggregatedNeighbors.B.cells;788.5;0.06506881318289064
Myeloid Monocytes_tumorfront_pNFkB;535.5;0.3091729885699689;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel;470.0;0.06629683299084863
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating;699.5;0.30975912577815623;;;Fibroblasts_stromal_pSTAT3;790.0;0.06659103841582442
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;710.5;0.3107269439297662;;;Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating;508.0;0.06749027125509147
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;536.0;0.3107384244559228;;;CD4 T cells naive_stromal_Ki67;788.5;0.06813026598506622
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;537.5;0.31078601921205296;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;783.5;0.06827090447379185
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells;712.0;0.3117067234340437;;;CD4 T cells memory_tumorfront_pCREB;789.0;0.06831271071726011
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel;536.0;0.3119340032445942;;;Myeloid M2 macrophages_tumorfront_pSTAT3;789.0;0.06831502570823617
Myeloid DCs_stromal_aggregatedNeighbors.Fibroblasts;540.0;0.31348005732384576;;;CD4 T cells naive_stromal_E-Cadherin;788.0;0.06922088937039299
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells;711.0;0.31748015811660435;;;Myeloid Monocytes_stromal_pCREB;788.0;0.07007318962482975
CD8 T cells_tumorfront_cellfrequency;711.0;0.3174923301908522;;;B cells_stromal_eccentricity;787.0;0.07025381723119892
Fibroblasts_stromal_pMAPKAPK2;537.0;0.31749638741282116;;;Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs;787.5;0.0702813790533418
CD8 T cells_stromal_eccentricity;711.0;0.31749638741282116;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;748.0;0.0709519226554538
Myeloid M2 macrophages_stromal_GranzymeB;537.5;0.32029775790669324;;;Myeloid M2 macrophages_tumorfront_cellfrequency;787.0;0.07187311314021032
CD4 T cells naive_tumorfront_cellfrequency;537.5;0.32029775790669324;;;Vessel_stromal_pCREB;787.0;0.07187311314021032
CD4 T cells regulatory_tumorfront_pSTAT1;708.5;0.32089939443539806;;;B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;775.0;0.07472857348816084
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs;540.0;0.32090804354570346;;;CD4 T cells regulatory_tumorfront_VEGF;785.0;0.07528745629800694
Myeloid Granulocytes_tumorfront_pSTAT1;709.0;0.32248682106209015;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;785.0;0.0755668899810208
CD8 T cells_tumorfront_eccentricity;710.0;0.3231193424230765;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive;779.0;0.07570707646971513
Fibroblasts_stromal_pp38;538.0;0.32312339906531407;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;781.0;0.07673460325644377
Myeloid M2 macrophages_stromal_pSTAT3;538.5;0.32595708204317264;;;Myeloid Monocytes_tumorfront_CD36;784.0;0.07746873077110898
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts;708.0;0.3272453063949826;;;Myeloid M2 macrophages_stromal_E-Cadherin;784.0;0.07749358698840325
Vessel_tumorfront_pMAPKAPK2;539.0;0.3288150289447912;;;CD4 T cells naive_tumorfront_celldistance;477.5;0.07797756965893957
Myeloid M1 macrophages_stromal_Ki67;539.0;0.3288150289447912;;;Tumor proliferating_intratumor_pMAPKAPK2;783.0;0.07914241431040722
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;707.5;0.3291073768335716;;;Fibroblasts_stromal_pNFkB;783.0;0.07944479360763745
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;568.5;0.3302676654372587;;;B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory;781.0;0.08000129145727493
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;539.5;0.3315674819722263;;;Tumor non-proliferating_intratumor_pp38;782.0;0.08143575910498878
Myeloid Monocytes_tumorfront_pS6;539.5;0.33168101434356345;;;Myeloid M1 macrophages_tumorfront_pSTAT3;782.0;0.08143575910498878
CD4 T cells regulatory_stromal_area;708.0;0.33366993841040804;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;775.5;0.08156357866024269
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;546.0;0.3337422652566556;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;780.5;0.081965082057353
CD8 T cells_tumorfront_pERK;540.0;0.3345671981488394;;;Tumor non-proliferating_stromal_E-Cadherin;479.0;0.08201744146553169
Vessel_tumorfront_CD44;708.0;0.3345712503307764;;;Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells;780.0;0.0820502522107911
Tumor non-proliferating_stromal_CD36;540.5;0.3363122777571501;;;CD8 T cells_stromal_pCREB;781.5;0.0824206065475398
Myeloid DCs_tumorfront_pSTAT1;705.5;0.33711004236750564;;;Myeloid Granulocytes_tumorfront_pCREB;781.0;0.08344113917043836
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;702.5;0.33941053664656684;;;Tumor non-proliferating_tumorfront_eccentricity;781.0;0.08346702492884528
CD8 T cells_tumorfront_E-Cadherin;707.0;0.3403879705728624;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes;779.5;0.08538667352717956
Myeloid M1 macrophages_tumorfront_CD36;707.0;0.3403920188510102;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts;480.0;0.0855365098139028
Tumor non-proliferating_tumorfront_VEGF;541.0;0.3403920188510102;;;Myeloid M1 macrophages_stromal_E-Cadherin;780.0;0.08553913271884293
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs;568.0;0.3416338678001023;;;Myeloid DCs_stromal_GranzymeB;780.0;0.08553913271884293
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;705.5;0.34528674166460804;;;CD4 T cells regulatory_tumorfront_pNFkB;779.0;0.0873337448790985
Myeloid M1 macrophages_tumorfront_area;706.0;0.34627727230020333;;;Vessel_tumorfront_GranzymeB;779.0;0.08765262409264556
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells;544.0;0.34873782806896436;;;CD8 T cells_intratumor_CD36;776.0;0.08788887722838613
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel;542.5;0.34913090092701493;;;CD8 T cells_intratumor_E-Cadherin;776.0;0.08788887722838613
CD8 T cells_stromal_Ki67;542.5;0.3492400162153031;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;778.5;0.08839341917465067
Vessel_stromal_CD44;705.0;0.35222693046633524;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;776.0;0.08864438993137003
Fibroblasts_stromal_pSTAT3;543.0;0.35222693046633524;;;Tumor proliferating_intratumor_pSTAT1;778.0;0.08948504051703848
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;548.0;0.35240406823098647;;;Myeloid DCs_tumorfront_cellfrequency;778.0;0.08980804042845009
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating;544.0;0.35359918723830397;;;CD4 T cells memory_stromal_pp38;777.0;0.09200319689729193
CD8 T cells_tumorfront_aggregatedNeighbors.Fibroblasts;704.5;0.3550725553599393;;;Myeloid DCs_stromal_pSTAT1;777.0;0.09200592264327549
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.B.cells;568.0;0.3558946666330314;;;Myeloid Monocytes_stromal_pp38;776.0;0.09424405103760207
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;702.0;0.35679453013085893;;;Myeloid M1 macrophages_stromal_pp38;776.0;0.09424681096710075
Tumor proliferating_tumorfront_pMAPKAPK2;544.0;0.35816028626613694;;;Myeloid M2 macrophages_tumorfront_pCREB;776.0;0.09424681096710075
CD4 T cells memory_tumorfront_pSTAT3;544.0;0.35816028626613694;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;775.5;0.09492527863408398
Fibroblasts_tumorfront_pSTAT1;704.0;0.3582408949647007;;;CD4 T cells regulatory_tumorfront_eccentricity;775.0;0.09619592036876785
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells;702.0;0.3597748960143883;;;Myeloid Granulocytes_stromal_eccentricity;775.0;0.0964753628527929
Myeloid DCs_tumorfront_celldistance;546.0;0.3610346929761291;;;CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes;771.0;0.09750667368071228
Myeloid M2 macrophages_stromal_CD36;703.5;0.3612679306897255;;;CD4 T cells regulatory_stromal_area;774.5;0.09763092574473767
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating;564.5;0.36225138510874644;;;Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating;486.0;0.09885976204278935
Myeloid DCs_stromal_E-Cadherin;545.0;0.3628504458317092;;;Fibroblasts_tumorfront_pSTAT3;774.0;0.09885976204278935
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells;545.0;0.36343260080495754;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;769.0;0.10016356689978864
Myeloid M2 macrophages_tumorfront_VEGF;545.0;0.36409374561569896;;;CD4 T cells naive_stromal_pSTAT1;773.0;0.10019064813065616
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts;547.0;0.3683603541623365;;;Tumor non-proliferating_stromal_area;488.0;0.10257338078874975
B cells_stromal_aggregatedNeighbors.Myeloid.DCs;558.0;0.3690147632690336;;;CD4 T cells naive_stromal_pS6;772.0;0.1025965716420195
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;546.0;0.37022846247287555;;;Myeloid M1 macrophages_stromal_pSTAT1;772.0;0.10365119291704275
Tumor proliferating_intratumor_pNFkB;702.0;0.3703208075671046;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;769.5;0.10412762746321062
B cells_stromal_CD44;702.0;0.3703208075671046;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;760.5;0.10419722886306106
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells;551.5;0.372287885669066;;;Myeloid M1 macrophages_tumorfront_VEGF;771.0;0.10611517487071975
Myeloid M1 macrophages_stromal_aggregatedNeighbors.B.cells;547.0;0.3727553891027988;;;Fibroblasts_tumorfront_pERK;489.0;0.10611517487071975
Myeloid Monocytes_tumorfront_pSTAT1;701.5;0.3735523286219502;;;Fibroblasts_stromal_pCREB;771.0;0.10611517487071975
Myeloid M2 macrophages_stromal_eccentricity;546.5;0.3735523286219502;;;Myeloid M1 macrophages_stromal_pMAPKAPK2;771.0;0.10611517487071975
CD4 T cells regulatory_stromal_pCREB;547.0;0.37578540122142834;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.B.cells;769.0;0.10654873144295686
Tumor proliferating_intratumor_eccentricity;701.0;0.37652729555764974;;;Myeloid Monocytes_tumorfront_eccentricity;770.0;0.1085957466248091
Myeloid DCs_stromal_aggregatedNeighbors.B.cells;557.5;0.3770175938709108;;;CD4 T cells memory_stromal_pMAPKAPK2;770.0;0.10862241376920882
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;548.0;0.3826857663159001;;;B cells_stromal_Ki67;769.0;0.10873354912781472
Tumor proliferating_intratumor_GranzymeB;548.0;0.3827975530824965;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes;767.0;0.11098493461524928
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes;549.5;0.38426279633813265;;;Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;764.5;0.11287873229170013
B cells_stromal_aggregatedNeighbors.Fibroblasts;699.5;0.3854258808670209;;;Tumor non-proliferating_stromal_Ki67;493.0;0.11346474324132881
CD4 T cells memory_tumorfront_pERK;548.5;0.3860561350996754;;;CD8 T cells_stromal_CD36;767.5;0.11507609650924287
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;551.5;0.38687565769552157;;;CD4 T cells regulatory_tumorfront_GranzymeB;767.0;0.11593308784141503
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;549.0;0.389191052552617;;;Myeloid M1 macrophages_tumorfront_Ki67;767.0;0.11643857596928994
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory;549.5;0.3891934025406726;;;Tumor non-proliferating_intratumor_pNFkB;767.0;0.11643857596928994
Vessel_tumorfront_CD36;699.0;0.3892705776682581;;;CD8 T cells_intratumor_area;764.0;0.11737513928298789
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating;550.0;0.3923452351818576;;;Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating;493.5;0.11737922481366636
Myeloid Monocytes_tumorfront_Ki67;550.0;0.3950126654544186;;;Myeloid Monocytes_tumorfront_pSTAT1;766.0;0.11907701086849486
Vessel_tumorfront_celldistance;550.0;0.39566727754231723;;;CD4 T cells memory_stromal_pSTAT1;766.0;0.11912653661165785
Myeloid M1 macrophages_tumorfront_pNFkB;550.5;0.3988853503180736;;;Tumor non-proliferating_intratumor_pS6;766.0;0.11913891745460196
B cells_stromal_Ki67;551.0;0.40190600797819354;;;CD4 T cells naive_stromal_GranzymeB;765.0;0.12074856404785564
Myeloid M1 macrophages_tumorfront_CD44;697.0;0.4021270739960475;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;765.0;0.1214938780874173
Myeloid M1 macrophages_stromal_pSTAT1;697.0;0.4021270739960475;;;Myeloid Monocytes_tumorfront_celldistance;495.0;0.1218568159719579
B cells_tumorfront_aggregatedNeighbors.Fibroblasts;687.5;0.4041846379257439;;;Tumor non-proliferating_intratumor_E-Cadherin;765.0;0.12188809371164336
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;572.0;0.4043532765489578;;;Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating;502.0;0.1221050250551748
Fibroblasts_intratumor_cellfrequency;572.0;0.4043532765489578;;;Tumor non-proliferating_stromal_pSTAT1;496.0;0.1232470860927471
B cells_intratumor_cellfrequency;653.0;0.4098383731744746;;;Vessel_tumorfront_pSTAT3;764.0;0.12468661770537769
Myeloid Monocytes_stromal_aggregatedNeighbors.B.cells;553.5;0.41149113475074917;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;750.0;0.12597823263774469
Fibroblasts_tumorfront_CD36;695.0;0.4152349423635795;;;CD4 T cells regulatory_stromal_pp38;763.0;0.12747115581054516
Tumor non-proliferating_intratumor_pERK;553.0;0.4152349423635795;;;Vessel_stromal_GranzymeB;763.0;0.12753499843738503
Myeloid Monocytes_stromal_GranzymeB;553.0;0.4152349423635795;;;Fibroblasts_tumorfront_pNFkB;763.0;0.12753499843738503
CD4 T cells regulatory_tumorfront_eccentricity;694.0;0.41579716348932716;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs;749.0;0.1292537093643656
Myeloid DCs_stromal_Ki67;554.0;0.4173957865999264;;;CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;498.0;0.13004676328414697
Fibroblasts_stromal_aggregatedNeighbors.B.cells;694.5;0.41822296677828275;;;Myeloid M1 macrophages_tumorfront_pNFkB;762.0;0.13043374067122096
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating;693.5;0.4199944003528252;;;CD8 T cells_intratumor_CD44;759.0;0.13174933584641624
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts;694.0;0.4218435415149929;;;Myeloid Monocytes_tumorfront_pSTAT3;761.0;0.13331823936061218
Vessel_tumorfront_Ki67;554.0;0.4218824588426905;;;Vessel_tumorfront_VEGF;761.0;0.13338334465514512
Myeloid DCs_tumorfront_eccentricity;692.0;0.4263007232560829;;;Fibroblasts_stromal_CD36;761.0;0.13338334465514512
CD4 T cells naive_tumorfront_pSTAT1;693.0;0.4285532484019927;;;Fibroblasts_tumorfront_eccentricity;761.0;0.13338334465514512
Myeloid DCs_tumorfront_area;691.5;0.42973113148777553;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.B.cells;750.0;0.13528394927897058
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;556.0;0.4301744951523505;;;CD8 T cells_stromal_GranzymeB;759.5;0.13787118215995905
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating;682.0;0.430339292156239;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel;500.5;0.13789429406517706
Myeloid DCs_stromal_pSTAT3;556.0;0.43395689833938356;;;Myeloid DCs_stromal_eccentricity;759.0;0.139437114608884
Myeloid M2 macrophages_tumorfront_pNFkB;556.0;0.4351474486327247;;;Fibroblasts_stromal_E-Cadherin;759.0;0.139437114608884
CD8 T cells_tumorfront_GranzymeB;692.0;0.4353592729737674;;;Vessel_stromal_pp38;759.0;0.139437114608884
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;567.5;0.4362929099908195;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel;758.0;0.13970534734059903
Myeloid DCs_tumorfront_aggregatedNeighbors.Vessel;560.0;0.4410662744727537;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;758.0;0.1398029877966883
Myeloid M2 macrophages_stromal_aggregatedNeighbors.B.cells;558.0;0.44121971805564086;;;Myeloid Monocytes_tumorfront_Ki67;758.0;0.1424753058352024
Myeloid Monocytes_stromal_E-Cadherin;557.0;0.4421955968088217;;;Myeloid Monocytes_tumorfront_VEGF;758.0;0.14250878209424006
Myeloid M1 macrophages_stromal_pMAPKAPK2;557.0;0.4421955968088217;;;CD4 T cells memory_tumorfront_CD36;758.0;0.14253890868905328
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel;557.5;0.4429765761953095;;;Myeloid DCs_stromal_E-Cadherin;758.0;0.14254225596926218
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;679.5;0.44451272560414745;;;Myeloid DCs_tumorfront_CD36;758.0;0.14254225596926218
