"","x"
"93","CD4negCD8negTcells_168Er_STAT6_unstim"
"94","CD4Tcm_149Sm_CREB_GMCSF"
"95","CD4Tcm_149Sm_CREB_IFNa"
"96","CD4Tcm_149Sm_CREB_IL246"
"97","CD4Tcm_149Sm_CREB_LPS"
"98","CD4Tcm_149Sm_CREB_unstim"
"99","CD4Tcm_150Nd_STAT5_IFNa"
"100","CD4Tcm_150Nd_STAT5_IL246"
"101","CD4Tcm_150Nd_STAT5_LPS"
"102","CD4Tcm_150Nd_STAT5_unstim"
"103","CD4Tcm_151Eu_p38_GMCSF"
"104","CD4Tcm_151Eu_p38_IFNa"
"105","CD4Tcm_151Eu_p38_IL246"
"106","CD4Tcm_151Eu_p38_LPS"
"107","CD4Tcm_151Eu_p38_unstim"
"108","CD4Tcm_153Eu_STAT1_IFNa"
"109","CD4Tcm_153Eu_STAT1_LPS"
"110","CD4Tcm_154Sm_STAT3_GMCSF"
"111","CD4Tcm_154Sm_STAT3_IFNa"
"112","CD4Tcm_154Sm_STAT3_IL246"
"113","CD4Tcm_154Sm_STAT3_LPS"
"114","CD4Tcm_154Sm_STAT3_unstim"
"115","CD4Tcm_155Gd_S6_GMCSF"
"116","CD4Tcm_155Gd_S6_IFNa"
"117","CD4Tcm_155Gd_S6_IL246"
"118","CD4Tcm_155Gd_S6_LPS"
"119","CD4Tcm_155Gd_S6_unstim"
"120","CD4Tcm_159Tb_MAPKAPK2_GMCSF"
"121","CD4Tcm_159Tb_MAPKAPK2_IFNa"
"122","CD4Tcm_159Tb_MAPKAPK2_IL246"
"123","CD4Tcm_159Tb_MAPKAPK2_LPS"
"124","CD4Tcm_159Tb_MAPKAPK2_unstim"
"125","CD4Tcm_156Gd_IkB_GMCSF"
"126","CD4Tcm_156Gd_IkB_IFNa"
"127","CD4Tcm_156Gd_IkB_IL246"
"128","CD4Tcm_156Gd_IkB_LPS"
"129","CD4Tcm_156Gd_IkB_unstim"
"130","CD4Tcm_166Er_NFkB_GMCSF"
"131","CD4Tcm_166Er_NFkB_IFNa"
"132","CD4Tcm_166Er_NFkB_IL246"
"133","CD4Tcm_166Er_NFkB_LPS"
"134","CD4Tcm_166Er_NFkB_unstim"
"135","CD4Tcm_167Er_ERK_GMCSF"
"136","CD4Tcm_167Er_ERK_IFNa"
"137","CD4Tcm_167Er_ERK_IL246"
"138","CD4Tcm_167Er_ERK_LPS"
"139","CD4Tcm_167Er_ERK_unstim"
"140","CD4Tcm_168Er_STAT6_GMCSF"
"141","CD4Tcm_168Er_STAT6_IFNa"
"142","CD4Tcm_168Er_STAT6_IL246"
"143","CD4Tcm_168Er_STAT6_LPS"
"144","CD4Tcm_168Er_STAT6_unstim"
"145","CD4Teff_149Sm_CREB_GMCSF"
"146","CD4Teff_149Sm_CREB_IFNa"
"147","CD4Teff_149Sm_CREB_IL246"
"148","CD4Teff_149Sm_CREB_LPS"
"149","CD4Teff_149Sm_CREB_unstim"
"150","CD4Teff_150Nd_STAT5_GMCSF"
"151","CD4Teff_150Nd_STAT5_IFNa"
"152","CD4Teff_150Nd_STAT5_IL246"
"153","CD4Teff_150Nd_STAT5_LPS"
"154","CD4Teff_151Eu_p38_GMCSF"
"155","CD4Teff_151Eu_p38_IFNa"
"156","CD4Teff_151Eu_p38_IL246"
"157","CD4Teff_151Eu_p38_LPS"
"158","CD4Teff_151Eu_p38_unstim"
"159","CD4Teff_153Eu_STAT1_IFNa"
"160","CD4Teff_153Eu_STAT1_LPS"
"161","CD4Teff_154Sm_STAT3_GMCSF"
"162","CD4Teff_154Sm_STAT3_IFNa"
"163","CD4Teff_154Sm_STAT3_IL246"
"164","CD4Teff_154Sm_STAT3_LPS"
"165","CD4Teff_154Sm_STAT3_unstim"
"166","CD4Teff_155Gd_S6_GMCSF"
"167","CD4Teff_155Gd_S6_IFNa"
"168","CD4Teff_155Gd_S6_IL246"
"169","CD4Teff_155Gd_S6_LPS"
"170","CD4Teff_155Gd_S6_unstim"
"171","CD4Teff_159Tb_MAPKAPK2_GMCSF"
"172","CD4Teff_159Tb_MAPKAPK2_IFNa"
"173","CD4Teff_159Tb_MAPKAPK2_IL246"
"174","CD4Teff_159Tb_MAPKAPK2_LPS"
"175","CD4Teff_159Tb_MAPKAPK2_unstim"
"176","CD4Teff_156Gd_IkB_GMCSF"
"177","CD4Teff_156Gd_IkB_IFNa"
"178","CD4Teff_156Gd_IkB_IL246"
"179","CD4Teff_156Gd_IkB_LPS"
"180","CD4Teff_156Gd_IkB_unstim"
"181","CD4Teff_166Er_NFkB_GMCSF"
"182","CD4Teff_166Er_NFkB_IFNa"
"183","CD4Teff_166Er_NFkB_IL246"
"184","CD4Teff_166Er_NFkB_LPS"
"185","CD4Teff_166Er_NFkB_unstim"
"186","CD4Teff_167Er_ERK_GMCSF"
"187","CD4Teff_167Er_ERK_IFNa"
"188","CD4Teff_167Er_ERK_IL246"
"189","CD4Teff_167Er_ERK_LPS"
"190","CD4Teff_167Er_ERK_unstim"
"191","CD4Teff_168Er_STAT6_GMCSF"
"192","CD4Teff_168Er_STAT6_IFNa"
"193","CD4Teff_168Er_STAT6_IL246"
"194","CD4Teff_168Er_STAT6_LPS"
"195","CD4Teff_168Er_STAT6_unstim"
"196","CD4Tem_149Sm_CREB_GMCSF"
"197","CD4Tem_149Sm_CREB_IFNa"
"198","CD4Tem_149Sm_CREB_IL246"
"199","CD4Tem_149Sm_CREB_LPS"
"200","CD4Tem_149Sm_CREB_unstim"
"201","CD4Tem_150Nd_STAT5_GMCSF"
"202","CD4Tem_150Nd_STAT5_IFNa"
"203","CD4Tem_150Nd_STAT5_IL246"
"204","CD4Tem_150Nd_STAT5_LPS"
"205","CD4Tem_150Nd_STAT5_unstim"
"206","CD4Tem_151Eu_p38_GMCSF"
"207","CD4Tem_151Eu_p38_IFNa"
"208","CD4Tem_151Eu_p38_IL246"
"209","CD4Tem_151Eu_p38_LPS"
"210","CD4Tem_151Eu_p38_unstim"
"211","CD4Tem_153Eu_STAT1_IFNa"
"212","CD4Tem_153Eu_STAT1_LPS"
"213","CD4Tem_154Sm_STAT3_IFNa"
"214","CD4Tem_154Sm_STAT3_IL246"
"215","CD4Tem_154Sm_STAT3_LPS"
"216","CD4Tem_154Sm_STAT3_unstim"
"217","CD4Tem_155Gd_S6_GMCSF"
"218","CD4Tem_155Gd_S6_IFNa"
"219","CD4Tem_155Gd_S6_IL246"
"220","CD4Tem_155Gd_S6_LPS"
"221","CD4Tem_155Gd_S6_unstim"
"222","CD4Tem_159Tb_MAPKAPK2_GMCSF"
"223","CD4Tem_159Tb_MAPKAPK2_IFNa"
"224","CD4Tem_159Tb_MAPKAPK2_IL246"
"225","CD4Tem_159Tb_MAPKAPK2_LPS"
"226","CD4Tem_159Tb_MAPKAPK2_unstim"
"227","CD4Tem_156Gd_IkB_GMCSF"
"228","CD4Tem_156Gd_IkB_IFNa"
"229","CD4Tem_156Gd_IkB_IL246"
"230","CD4Tem_156Gd_IkB_LPS"
"231","CD4Tem_156Gd_IkB_unstim"
"232","CD4Tem_166Er_NFkB_GMCSF"
"233","CD4Tem_166Er_NFkB_IFNa"
"234","CD4Tem_166Er_NFkB_IL246"
"235","CD4Tem_166Er_NFkB_LPS"
"236","CD4Tem_166Er_NFkB_unstim"
"237","CD4Tem_167Er_ERK_GMCSF"
"238","CD4Tem_167Er_ERK_IFNa"
"239","CD4Tem_167Er_ERK_IL246"
"240","CD4Tem_167Er_ERK_LPS"
"241","CD4Tem_167Er_ERK_unstim"
"242","CD4Tem_168Er_STAT6_GMCSF"
"243","CD4Tem_168Er_STAT6_IFNa"
"244","CD4Tem_168Er_STAT6_IL246"
"245","CD4Tem_168Er_STAT6_LPS"
"246","CD4Tem_168Er_STAT6_unstim"
"247","CD4Tnaive_149Sm_CREB_GMCSF"
"248","CD4Tnaive_149Sm_CREB_IFNa"
"249","CD4Tnaive_149Sm_CREB_IL246"
"250","CD4Tnaive_149Sm_CREB_LPS"
"251","CD4Tnaive_149Sm_CREB_unstim"
"252","CD4Tnaive_150Nd_STAT5_GMCSF"
"253","CD4Tnaive_150Nd_STAT5_IFNa"
"254","CD4Tnaive_150Nd_STAT5_IL246"
"255","CD4Tnaive_150Nd_STAT5_LPS"
"256","CD4Tnaive_150Nd_STAT5_unstim"
"257","CD4Tnaive_151Eu_p38_GMCSF"
"258","CD4Tnaive_151Eu_p38_IFNa"
"259","CD4Tnaive_151Eu_p38_IL246"
"260","CD4Tnaive_151Eu_p38_LPS"
"261","CD4Tnaive_151Eu_p38_unstim"
"262","CD4Tnaive_153Eu_STAT1_IFNa"
"263","CD4Tnaive_153Eu_STAT1_LPS"
"264","CD4Tnaive_154Sm_STAT3_GMCSF"
"265","CD4Tnaive_154Sm_STAT3_IFNa"
"266","CD4Tnaive_154Sm_STAT3_IL246"
"267","CD4Tnaive_154Sm_STAT3_LPS"
"268","CD4Tnaive_154Sm_STAT3_unstim"
"269","CD4Tnaive_155Gd_S6_GMCSF"
"270","CD4Tnaive_155Gd_S6_IFNa"
"271","CD4Tnaive_155Gd_S6_IL246"
"272","CD4Tnaive_155Gd_S6_LPS"
"273","CD4Tnaive_155Gd_S6_unstim"
"274","CD4Tnaive_159Tb_MAPKAPK2_GMCSF"
"275","CD4Tnaive_159Tb_MAPKAPK2_IFNa"
"276","CD4Tnaive_159Tb_MAPKAPK2_IL246"
"277","CD4Tnaive_159Tb_MAPKAPK2_LPS"
"278","CD4Tnaive_159Tb_MAPKAPK2_unstim"
"279","CD4Tnaive_156Gd_IkB_GMCSF"
"280","CD4Tnaive_156Gd_IkB_IFNa"
"281","CD4Tnaive_156Gd_IkB_IL246"
"282","CD4Tnaive_156Gd_IkB_LPS"
"283","CD4Tnaive_156Gd_IkB_unstim"
"284","CD4Tnaive_166Er_NFkB_GMCSF"
"285","CD4Tnaive_166Er_NFkB_IFNa"
"286","CD4Tnaive_166Er_NFkB_IL246"
"287","CD4Tnaive_166Er_NFkB_LPS"
"288","CD4Tnaive_166Er_NFkB_unstim"
"289","CD4Tnaive_167Er_ERK_GMCSF"
"290","CD4Tnaive_167Er_ERK_IFNa"
"291","CD4Tnaive_167Er_ERK_IL246"
"292","CD4Tnaive_167Er_ERK_LPS"
"293","CD4Tnaive_167Er_ERK_unstim"
"294","CD4Tnaive_168Er_STAT6_GMCSF"
"295","CD4Tnaive_168Er_STAT6_IFNa"
"296","CD4Tnaive_168Er_STAT6_IL246"
"297","CD4Tnaive_168Er_STAT6_LPS"
"298","CD4Tnaive_168Er_STAT6_unstim"
"299","CD56hiCD16negNK_149Sm_CREB_GMCSF"
"300","CD56hiCD16negNK_149Sm_CREB_IFNa"
"301","CD56hiCD16negNK_149Sm_CREB_IL246"
"302","CD56hiCD16negNK_149Sm_CREB_LPS"
"303","CD56hiCD16negNK_149Sm_CREB_unstim"
"304","CD56hiCD16negNK_150Nd_STAT5_GMCSF"
"305","CD56hiCD16negNK_150Nd_STAT5_IFNa"
"306","CD56hiCD16negNK_150Nd_STAT5_IL246"
"307","CD56hiCD16negNK_150Nd_STAT5_LPS"
"308","CD56hiCD16negNK_150Nd_STAT5_unstim"
"309","CD56hiCD16negNK_151Eu_p38_GMCSF"
"310","CD56hiCD16negNK_151Eu_p38_IFNa"
"311","CD56hiCD16negNK_151Eu_p38_IL246"
"312","CD56hiCD16negNK_151Eu_p38_LPS"
"313","CD56hiCD16negNK_151Eu_p38_unstim"
"314","CD56hiCD16negNK_153Eu_STAT1_IFNa"
"315","CD56hiCD16negNK_153Eu_STAT1_LPS"
"316","CD56hiCD16negNK_154Sm_STAT3_IFNa"
"317","CD56hiCD16negNK_154Sm_STAT3_IL246"
"318","CD56hiCD16negNK_154Sm_STAT3_LPS"
"319","CD56hiCD16negNK_155Gd_S6_GMCSF"
"320","CD56hiCD16negNK_155Gd_S6_IFNa"
"321","CD56hiCD16negNK_155Gd_S6_IL246"
"322","CD56hiCD16negNK_155Gd_S6_LPS"
"323","CD56hiCD16negNK_155Gd_S6_unstim"
"324","CD56hiCD16negNK_159Tb_MAPKAPK2_GMCSF"
"325","CD56hiCD16negNK_159Tb_MAPKAPK2_IFNa"
"326","CD56hiCD16negNK_159Tb_MAPKAPK2_IL246"
"327","CD56hiCD16negNK_159Tb_MAPKAPK2_LPS"
"328","CD56hiCD16negNK_159Tb_MAPKAPK2_unstim"
"329","CD56hiCD16negNK_156Gd_IkB_GMCSF"
"330","CD56hiCD16negNK_156Gd_IkB_IFNa"
"331","CD56hiCD16negNK_156Gd_IkB_IL246"
"332","CD56hiCD16negNK_156Gd_IkB_LPS"
"333","CD56hiCD16negNK_156Gd_IkB_unstim"
"334","CD56hiCD16negNK_166Er_NFkB_GMCSF"
"335","CD56hiCD16negNK_166Er_NFkB_IFNa"
"336","CD56hiCD16negNK_166Er_NFkB_IL246"
"337","CD56hiCD16negNK_166Er_NFkB_LPS"
"338","CD56hiCD16negNK_166Er_NFkB_unstim"
"339","CD56hiCD16negNK_168Er_STAT6_IFNa"
"340","CD56hiCD16negNK_168Er_STAT6_IL246"
"341","CD56hiCD16negNK_168Er_STAT6_LPS"
"342","CD56loCD16posNK_149Sm_CREB_GMCSF"
"343","CD56loCD16posNK_149Sm_CREB_IFNa"
"344","CD56loCD16posNK_149Sm_CREB_IL246"
"345","CD56loCD16posNK_149Sm_CREB_LPS"
"346","CD56loCD16posNK_149Sm_CREB_unstim"
"347","CD56loCD16posNK_150Nd_STAT5_GMCSF"
"348","CD56loCD16posNK_150Nd_STAT5_IFNa"
"349","CD56loCD16posNK_150Nd_STAT5_LPS"
"350","CD56loCD16posNK_150Nd_STAT5_unstim"
"351","CD56loCD16posNK_151Eu_p38_GMCSF"
"352","CD56loCD16posNK_151Eu_p38_IFNa"
"353","CD56loCD16posNK_151Eu_p38_IL246"
"354","CD56loCD16posNK_151Eu_p38_LPS"
"355","CD56loCD16posNK_151Eu_p38_unstim"
"356","CD56loCD16posNK_153Eu_STAT1_IFNa"
"357","CD56loCD16posNK_153Eu_STAT1_LPS"
"358","CD56loCD16posNK_154Sm_STAT3_IFNa"
"359","CD56loCD16posNK_154Sm_STAT3_LPS"
"360","CD56loCD16posNK_155Gd_S6_GMCSF"
"361","CD56loCD16posNK_155Gd_S6_IFNa"
"362","CD56loCD16posNK_155Gd_S6_IL246"
"363","CD56loCD16posNK_155Gd_S6_LPS"
"364","CD56loCD16posNK_155Gd_S6_unstim"
"365","CD56loCD16posNK_159Tb_MAPKAPK2_GMCSF"
"366","CD56loCD16posNK_159Tb_MAPKAPK2_IFNa"
"367","CD56loCD16posNK_159Tb_MAPKAPK2_IL246"
"368","CD56loCD16posNK_159Tb_MAPKAPK2_LPS"
"369","CD56loCD16posNK_159Tb_MAPKAPK2_unstim"
"370","CD56loCD16posNK_156Gd_IkB_GMCSF"
"371","CD56loCD16posNK_156Gd_IkB_IFNa"
"372","CD56loCD16posNK_156Gd_IkB_IL246"
"373","CD56loCD16posNK_156Gd_IkB_LPS"
"374","CD56loCD16posNK_156Gd_IkB_unstim"
"375","CD56loCD16posNK_166Er_NFkB_GMCSF"
"376","CD56loCD16posNK_166Er_NFkB_IFNa"
"377","CD56loCD16posNK_166Er_NFkB_IL246"
"378","CD56loCD16posNK_166Er_NFkB_LPS"
"379","CD56loCD16posNK_166Er_NFkB_unstim"
"380","CD56loCD16posNK_167Er_ERK_IFNa"
"381","CD56loCD16posNK_167Er_ERK_LPS"
"382","CD56loCD16posNK_168Er_STAT6_IFNa"
"383","CD56loCD16posNK_168Er_STAT6_IL246"
"384","CD8Tcm_149Sm_CREB_GMCSF"
"385","CD8Tcm_149Sm_CREB_IFNa"
"386","CD8Tcm_149Sm_CREB_IL246"
"387","CD8Tcm_149Sm_CREB_LPS"
"388","CD8Tcm_149Sm_CREB_unstim"
"389","CD8Tcm_150Nd_STAT5_GMCSF"
"390","CD8Tcm_150Nd_STAT5_IFNa"
"391","CD8Tcm_150Nd_STAT5_IL246"
"392","CD8Tcm_150Nd_STAT5_LPS"
"393","CD8Tcm_151Eu_p38_GMCSF"
"394","CD8Tcm_151Eu_p38_IFNa"
"395","CD8Tcm_151Eu_p38_IL246"
"396","CD8Tcm_151Eu_p38_LPS"
"397","CD8Tcm_151Eu_p38_unstim"
"398","CD8Tcm_153Eu_STAT1_IFNa"
"399","CD8Tcm_153Eu_STAT1_LPS"
"400","CD8Tcm_154Sm_STAT3_IFNa"
"401","CD8Tcm_154Sm_STAT3_IL246"
"402","CD8Tcm_154Sm_STAT3_LPS"
"403","CD8Tcm_155Gd_S6_GMCSF"
"404","CD8Tcm_155Gd_S6_IFNa"
"405","CD8Tcm_155Gd_S6_IL246"
"406","CD8Tcm_155Gd_S6_LPS"
"407","CD8Tcm_155Gd_S6_unstim"
"408","CD8Tcm_159Tb_MAPKAPK2_GMCSF"
"409","CD8Tcm_159Tb_MAPKAPK2_IFNa"
"410","CD8Tcm_159Tb_MAPKAPK2_IL246"
"411","CD8Tcm_159Tb_MAPKAPK2_LPS"
"412","CD8Tcm_159Tb_MAPKAPK2_unstim"
"413","CD8Tcm_156Gd_IkB_GMCSF"
"414","CD8Tcm_156Gd_IkB_IFNa"
"415","CD8Tcm_156Gd_IkB_IL246"
"416","CD8Tcm_156Gd_IkB_LPS"
"417","CD8Tcm_156Gd_IkB_unstim"
"418","CD8Tcm_166Er_NFkB_GMCSF"
"419","CD8Tcm_166Er_NFkB_IFNa"
"420","CD8Tcm_166Er_NFkB_IL246"
"421","CD8Tcm_166Er_NFkB_LPS"
"422","CD8Tcm_166Er_NFkB_unstim"
"423","CD8Tcm_167Er_ERK_GMCSF"
"424","CD8Tcm_167Er_ERK_IFNa"
"425","CD8Tcm_167Er_ERK_IL246"
"426","CD8Tcm_167Er_ERK_LPS"
"427","CD8Tcm_167Er_ERK_unstim"
"428","CD8Tcm_168Er_STAT6_GMCSF"
"429","CD8Tcm_168Er_STAT6_IFNa"
"430","CD8Tcm_168Er_STAT6_IL246"
"431","CD8Tcm_168Er_STAT6_LPS"
"432","CD8Tcm_168Er_STAT6_unstim"
"433","CD8Teff_149Sm_CREB_GMCSF"
"434","CD8Teff_149Sm_CREB_IFNa"
"435","CD8Teff_149Sm_CREB_IL246"
"436","CD8Teff_149Sm_CREB_LPS"
"437","CD8Teff_149Sm_CREB_unstim"
"438","CD8Teff_150Nd_STAT5_GMCSF"
"439","CD8Teff_150Nd_STAT5_IFNa"
"440","CD8Teff_150Nd_STAT5_IL246"
"441","CD8Teff_150Nd_STAT5_LPS"
"442","CD8Teff_151Eu_p38_GMCSF"
"443","CD8Teff_151Eu_p38_IFNa"
"444","CD8Teff_151Eu_p38_IL246"
"445","CD8Teff_151Eu_p38_LPS"
"446","CD8Teff_151Eu_p38_unstim"
"447","CD8Teff_153Eu_STAT1_IFNa"
"448","CD8Teff_153Eu_STAT1_LPS"
"449","CD8Teff_154Sm_STAT3_IFNa"
"450","CD8Teff_154Sm_STAT3_LPS"
"451","CD8Teff_155Gd_S6_GMCSF"
"452","CD8Teff_155Gd_S6_IFNa"
"453","CD8Teff_155Gd_S6_IL246"
"454","CD8Teff_155Gd_S6_LPS"
"455","CD8Teff_155Gd_S6_unstim"
"456","CD8Teff_159Tb_MAPKAPK2_GMCSF"
"457","CD8Teff_159Tb_MAPKAPK2_IFNa"
"458","CD8Teff_159Tb_MAPKAPK2_IL246"
"459","CD8Teff_159Tb_MAPKAPK2_LPS"
"460","CD8Teff_159Tb_MAPKAPK2_unstim"
"461","CD8Teff_156Gd_IkB_GMCSF"
"462","CD8Teff_156Gd_IkB_IFNa"
"463","CD8Teff_156Gd_IkB_IL246"
"464","CD8Teff_156Gd_IkB_LPS"
"465","CD8Teff_156Gd_IkB_unstim"
"466","CD8Teff_166Er_NFkB_GMCSF"
"467","CD8Teff_166Er_NFkB_IFNa"
"468","CD8Teff_166Er_NFkB_IL246"
"469","CD8Teff_166Er_NFkB_LPS"
"470","CD8Teff_166Er_NFkB_unstim"
"471","CD8Teff_167Er_ERK_GMCSF"
"472","CD8Teff_167Er_ERK_IFNa"
"473","CD8Teff_167Er_ERK_IL246"
"474","CD8Teff_167Er_ERK_LPS"
"475","CD8Teff_167Er_ERK_unstim"
"476","CD8Teff_168Er_STAT6_GMCSF"
"477","CD8Teff_168Er_STAT6_IFNa"
"478","CD8Teff_168Er_STAT6_IL246"
"479","CD8Teff_168Er_STAT6_LPS"
"480","CD8Teff_168Er_STAT6_unstim"
"481","CD8Tem_149Sm_CREB_GMCSF"
"482","CD8Tem_149Sm_CREB_IFNa"
"483","CD8Tem_149Sm_CREB_IL246"
"484","CD8Tem_149Sm_CREB_LPS"
"485","CD8Tem_149Sm_CREB_unstim"
"486","CD8Tem_150Nd_STAT5_GMCSF"
"487","CD8Tem_150Nd_STAT5_IFNa"
"488","CD8Tem_150Nd_STAT5_IL246"
"489","CD8Tem_150Nd_STAT5_LPS"
"490","CD8Tem_150Nd_STAT5_unstim"
"491","CD8Tem_151Eu_p38_GMCSF"
"492","CD8Tem_151Eu_p38_IFNa"
"493","CD8Tem_151Eu_p38_IL246"
"494","CD8Tem_151Eu_p38_LPS"
"495","CD8Tem_151Eu_p38_unstim"
"496","CD8Tem_153Eu_STAT1_IFNa"
"497","CD8Tem_153Eu_STAT1_LPS"
"498","CD8Tem_154Sm_STAT3_IFNa"
"499","CD8Tem_154Sm_STAT3_LPS"
"500","CD8Tem_155Gd_S6_GMCSF"
"501","CD8Tem_155Gd_S6_IFNa"
"502","CD8Tem_155Gd_S6_IL246"
"503","CD8Tem_155Gd_S6_LPS"
"504","CD8Tem_155Gd_S6_unstim"
"505","CD8Tem_159Tb_MAPKAPK2_GMCSF"
"506","CD8Tem_159Tb_MAPKAPK2_IFNa"
"507","CD8Tem_159Tb_MAPKAPK2_IL246"
"508","CD8Tem_159Tb_MAPKAPK2_LPS"
"509","CD8Tem_159Tb_MAPKAPK2_unstim"
"510","CD8Tem_156Gd_IkB_GMCSF"
"511","CD8Tem_156Gd_IkB_IFNa"
"512","CD8Tem_156Gd_IkB_IL246"
"513","CD8Tem_156Gd_IkB_LPS"
"514","CD8Tem_156Gd_IkB_unstim"
"515","CD8Tem_166Er_NFkB_GMCSF"
"516","CD8Tem_166Er_NFkB_IFNa"
"517","CD8Tem_166Er_NFkB_IL246"
"518","CD8Tem_166Er_NFkB_LPS"
"519","CD8Tem_166Er_NFkB_unstim"
"520","CD8Tem_167Er_ERK_GMCSF"
"521","CD8Tem_167Er_ERK_IFNa"
"522","CD8Tem_167Er_ERK_IL246"
"523","CD8Tem_167Er_ERK_LPS"
"524","CD8Tem_167Er_ERK_unstim"
"525","CD8Tem_168Er_STAT6_GMCSF"
"526","CD8Tem_168Er_STAT6_IL246"
"527","CD8Tem_168Er_STAT6_LPS"
"528","CD8Tem_168Er_STAT6_unstim"
"529","CD8Tnaive_149Sm_CREB_GMCSF"
