,Mann-Whitney U-test,p-value
Myeloid Granulocytes_tumorfront_pCREB,2807.0,0.22930244047498727
B cells_tumorfront_VEGF,2803.5,0.23114884721458373
CD4 T cells naive_stromal_pSTAT3,2805.0,0.23258680990363279
Tumor non-proliferating_tumorfront_pNFkB,2805.0,0.23276504553195154
Tumor non-proliferating_intratumor_Ki67,2225.0,0.24086246684690316
Myeloid M1 macrophages_stromal_E-Cadherin,2798.0,0.24415635176448203
CD4 T cells memory_stromal_pS6,2227.5,0.24498375339945122
CD8 T cells_stromal_pSTAT3,2796.5,0.24664248454039728
CD4 T cells regulatory_stromal_E-Cadherin,2796.0,0.2473628258086631
Tumor non-proliferating_stromal_pCREB,2232.0,0.2522386128666021
CD8 T cells_tumorfront_pS6,2793.0,0.25251116387098305
Myeloid M2 macrophages_stromal_CD36,2792.5,0.25337670758587627
Tumor non-proliferating_intratumor_GranzymeB,2787.0,0.2628378269273889
CD4 T cells memory_tumorfront_GranzymeB,2786.5,0.26370431662719496
CD4 T cells memory_stromal_pp38,2786.5,0.26370881983701133
Fibroblasts_stromal_pp38,2784.0,0.2680997109251747
CD4 T cells memory_stromal_E-Cadherin,2782.5,0.27075661000957363
Myeloid M2 macrophages_stromal_pSTAT1,2782.5,0.27075711206708786
Tumor non-proliferating_stromal_pMAPKAPK2,2244.0,0.27306735200846155
Myeloid Granulocytes_tumorfront_pp38,2781.0,0.27308647767761063
Myeloid Monocytes_tumorfront_GranzymeB,2780.5,0.2743239634846212
Tumor non-proliferating_stromal_pNFkB,2246.0,0.2766627441268902
Myeloid Granulocytes_tumorfront_CD36,2778.0,0.2785521692587787
Myeloid M1 macrophages_tumorfront_Ki67,2777.5,0.2797469290561646
Myeloid Granulocytes_tumorfront_pS6,2777.0,0.2803700028441426
CD4 T cells memory_tumorfront_pNFkB,2776.5,0.2815639200426727
CD4 T cells naive_tumorfront_VEGF,2776.0,0.28199385200886906
B cells_stromal_E-Cadherin,2776.0,0.2821226616808923
CD4 T cells memory_stromal_pMAPKAPK2,2775.5,0.2833985252449258
CD4 T cells regulatory_stromal_pp38,2775.0,0.2841237430681003
Tumor proliferating_intratumor_pSTAT3,2772.0,0.2897897716049642
Fibroblasts_tumorfront_pSTAT1,2772.0,0.2898681171804023
Myeloid M2 macrophages_tumorfront_Ki67,2770.0,0.2934640352972383
Myeloid DCs_tumorfront_pS6,2769.0,0.2943246398722301
CD4 T cells naive_stromal_pS6,2256.0,0.29530688699056407
Myeloid Monocytes_stromal_VEGF,2768.0,0.29738110221119585
B cells_stromal_pNFkB,2767.0,0.2989178406353694
CD4 T cells regulatory_stromal_pS6,2258.0,0.2991585890127455
CD8 T cells_stromal_Ki67,2767.0,0.29927457277111624
Fibroblasts_stromal_pS6,2261.0,0.305024175597051
Tumor proliferating_intratumor_pMAPKAPK2,2763.0,0.30687643115944563
Myeloid Granulocytes_stromal_pMAPKAPK2,2762.0,0.3088660271747591
CD8 T cells_tumorfront_pCREB,2760.0,0.3127777056632617
Fibroblasts_tumorfront_CD36,2758.0,0.3167303330740331
CD8 T cells_tumorfront_pSTAT1,2755.0,0.32267425210321976
CD4 T cells naive_stromal_pMAPKAPK2,2754.0,0.3245114544222869
Fibroblasts_stromal_E-Cadherin,2754.0,0.3246960579445076
B cells_tumorfront_pS6,2746.5,0.3360143187209289
Tumor non-proliferating_stromal_CD44,2278.5,0.33960489598721144
Fibroblasts_stromal_VEGF,2746.0,0.34101522180151644
Tumor proliferating_tumorfront_CD36,2745.5,0.3420416955351713
Myeloid Monocytes_tumorfront_pNFkB,2745.5,0.34204675362529957
Myeloid Monocytes_tumorfront_pSTAT3,2742.0,0.3493481913959978
Tumor non-proliferating_tumorfront_pERK,2283.0,0.34936838996120734
Tumor non-proliferating_tumorfront_pp38,2742.0,0.34936838996120734
CD4 T cells regulatory_tumorfront_GranzymeB,2740.0,0.35273169934145276
CD4 T cells memory_stromal_VEGF,2739.5,0.35465351471546047
Fibroblasts_tumorfront_pSTAT3,2739.0,0.35571777912583236
CD4 T cells memory_stromal_Ki67,2738.5,0.3567805240854185
Myeloid M2 macrophages_stromal_pERK,2286.5,0.3567820357153172
CD4 T cells regulatory_stromal_pCREB,2736.0,0.3620187197104058
CD4 T cells naive_stromal_E-Cadherin,2733.0,0.36845058738979963
CD4 T cells naive_tumorfront_pMAPKAPK2,2730.0,0.3747132141719811
Myeloid Monocytes_stromal_GranzymeB,2295.0,0.3751985993698429
CD8 T cells_stromal_pMAPKAPK2,2728.5,0.3785039310291741
